HP:0012869	espécimen de espermatozoide acéfalo
HP:0025105	lesión cutánea congénita caracterizada por máculas hipopigmentadas irregulares que se unen formando placas y que se presentan sobre todo en el tórax. suele estar presente al nacer o desarrollarse en los primeros días de vida. es más frecuente en las mujeres. El diagnóstico se confirma aplicando una suave fricción sobre la lesión y la piel circundante y comprobando que el eritema producido en la piel sana no aparece en la lesión hipopigmentada. esta mácula pálida se hace más llamativa al frotar la lesión y su entorno. el margen del névus está mal definido y consiste en un archipiélago de pequeñas manchas anémicas.
HP:0034302	disco óptico agrandado congénitamente anómalo . se considera una variante normal sin defectos fisiológicos.
HP:0500070	lesión conjuntival compuesta por tejido adiposo y tejido conjuntivo denso. estos coristomas de elementos dérmicos se encuentran normalmente en el canto externo y tienen un aspecto gelatinoso. clásicamente, presentan un borde posterior indistinto y un borde anterior bien delimitado varios milímetros por detrás del limbo.
HP:5200053	un fallo sistemático en la respuesta no verbal a las señales verbales, como no cambiar la atención o no mirar a la fuente de la señal.
HP:5200036	una incapacidad constante para responder a cualquier indicación verbal.
HP:5200054	la incapacidad sistemática de responder verbalmente a las señales verbales que pretenden provocar una respuesta verbal.
HP:0032674	La cicatrización de heridas es un proceso dinámico e interactivo en el que intervienen mediadores solubles, células sanguíneas, matriz extracelular y células parenquimatosas. La cicatrización de heridas consta de tres fases: inflamación, formación de tejido y remodelación tisular, que se solapan en el tiempo.
HP:0034408	pápula oscura y queratósica de unos 2-10 mm de diámetro, que suele aparecer en las extremidades inferiores. por lo general, las lesiones comienzan como pápulas brillantes, blandas y no queratósicas que se agrandan y cambian a una fase firme, de color azul a negro y queratósica.
HP:5200320	una disminución de la frecuencia o la duración relacionada con la búsqueda o el mantenimiento de relaciones puede implicar evitar las salidas sociales o las interacciones sociales.
HP:5200310	disminución de la frecuencia, intensidad o extensión de los intercambios sociales o personales entre individuos.
HP:0500162	una disminución de la cantidad de carnosina en los alimentos.
HP:0020175	una disminución de la cantidad de colinesterasa en la circulación sanguínea.
HP:0020222	una disminución de la concentración de homocistina en la sangre.
HP:0045041	un nivel disminuido o reducido de la enzima lactato deshidrogenasa en suero.
HP:0031433	el déficit en la conciencia emocional se caracteriza por dificultades para reconocer y expresar sentimientos y emociones. este déficit se manifiesta como una capacidad limitada para responder a señales faciales u otros signos de emociones en los demás, a menudo acompañada de conexiones distantes con los demás.
HP:5200420	un delirio es cuando alguien cree que es amado por otra persona, aunque no haya pruebas de ello, y la persona en cuestión lo niega.
HP:0030715	anomalía del desarrollo caracterizada por la obliteración focal del segmento proximal de un bronquio. el patrón bronquial es completamente normal distal al lugar de la estenosis.
HP:0100841	anomalía del desarrollo con un estómago pequeño tubular o sacular en la línea media.
HP:0034548	Defecto del desarrollo caracterizado por el subdesarrollo de la vena porta.
HP:0034530	Defecto de desarrollo de un hueso largo, como el fémur o el húmero, caracterizado por una desviación marcadamente curva localizada en la metáfisis del hueso.
HP:0001180	Defecto del desarrollo que provoca la presencia de un número de dedos inferior al normal.
HP:0011545	una desviación en las conexiones normales entre dos segmentos cardíacos.
HP:0012113	desviación de la concentración normal de creatina en la circulación sanguínea. la creatina es un derivado de la glicina que tiene grupos metilo y amidino unidos al nitrógeno. la creatina se produce de forma natural a partir de aminoácidos, principalmente en el hígado y el riñón, y actúa como fuente de energía para las células, principalmente para las células musculares.
HP:0034582	una desviación de la distribución normal de los tipos de células o de sus proprociones relativas en un ganglio linfático.
HP:0011146	una crisis dialéptica es un tipo de crisis caracterizada predominantemente por una disminución de la capacidad de respuesta o de la conciencia y con amnesia posterior, al menos parcial, del suceso.
HP:0005787	Forma aplanada del cuerpo vertebral con distancia reducida entre las placas terminales vertebrales que afecta a la columna lumbar.
HP:0004592	Una forma aplanada del cuerpo vertebral con una distancia reducida entre las placas terminales vertebrales que afecta a la columna torácica.
HP:0032755	una crisis autonómica focal caracterizada por una alteración de la conciencia en algún momento de la crisis.
HP:0032790	crisis de detención focal del comportamiento caracterizada por una alteración de la conciencia en algún momento de la crisis.
HP:0032789	una crisis de detención focal de la conducta caracterizada por el mantenimiento de la conciencia durante toda la crisis.
HP:0032858	una crisis motora focal con mioclonía negativa caracterizada por la pérdida de conciencia en algún momento de la crisis.
HP:0100025	una forma de hipersociabilidad que se presenta sobre todo como una inadecuada orientación hacia las personas y una amabilidad hacia los demás a un nivel inadecuado que puede llegar a ser peligroso si se considera, por ejemplo, que los niños pequeños siguen a extraños sin restricciones.
HP:0033423	una forma de hipertensión arterial pulmonar en la que se produce una reducción de la presión arterial pulmonar media a leasy 10 mmhg para alcanzar un valor absoluto de mpap no superior a 40 mmhg con un gasto cardíaco aumentado o sin cambios en respuesta al óxido nítrico inhalado a 10-20 ppm.
HP:0033349	un aumento de cuatro veces o más de la frecuencia habitual de convulsiones en un periodo de 3 días, en el que el paciente demuestre una recuperación completa entre los episodios de convulsiones dentro del grupo. el grupo de convulsiones debe ser reconocible por el clínico de cabecera, el cuidador o el paciente.
HP:0000204	Se trata de un defecto congénito debido a la no fusión de los tejidos del labio durante el desarrollo embrionario.
HP:0002123	una crisis mioclónica generalizada es un tipo de crisis motora generalizada caracterizada por la contracción bilateral, súbita, breve e involuntaria, única o múltiple, de músculos o grupos musculares de topografía variable . el mioclono es menos repetitivo regularmente y menos sostenido que el clonus.
HP:0032795	una crisis mioclónica-tónica-clónica generalizada es un tipo de crisis motora generalizada caracterizada por una sacudida única o múltiple de las extremidades bilateralmente, seguida de fases tónicas y clónicas. las sacudidas iniciales pueden considerarse un breve período de clonus o mioclonus.
HP:0002121	una convulsión generalizada no motora es un tipo de convulsión dialéptica de aparición electrográficamente generalizada. es una convulsión generalizada caracterizada por una interrupción de las actividades, una mirada perdida y, por lo general, la persona no responde cuando se le habla. cualquier fenómeno ictal motor es menor en comparación con estas características no motoras.
HP:0010818	una crisis tónica generalizada es un tipo de crisis motora generalizada caracterizada por la rigidez o elevación bilateral de las extremidades, a menudo con rigidez del cuello sin una fase clónica posterior. la actividad tónica puede consistir en una postura anormal sostenida, ya sea en extensión o flexión, a veces acompañada de temblor de las extremidades.
HP:0000683	una decoloración gris del esmalte dental.
HP:0032538	un surco o pliegue en las espinillas . los pliegues pretibiales pueden ser evidentes al nacer y pueden oscilar entre 3 cm y más de 15 cm de longitud y alargarse a medida que crece la extremidad. aparecen como un hoyuelo alargado debido a la unión de la piel al tejido subyacente . el hoyuelo o pliegue crece en proporción al crecimiento de la pierna.
HP:0500091	hamartoma de los vasos linfáticos que suele presentarse en la infancia. tiende a aumentar de tamaño con la postura cabeza abajo y con la maniobra de valsalva. las lesiones superficiales son visibles como espacios quísticos transiluminables del párpado o la conjuntiva que también pueden contener sangre. las lesiones profundas pueden causar proptosis gradual o presentarse de forma aguda con dolor orbitario y reducción de la visión debido a una hemorragia.
HP:0035011	antecedentes de exposición a la plata en relación con el desempeño de sus funciones.
HP:0010962	un tipo de secuestro broncopulmonar que es completamente discreto del pulmón normal y está rodeado por una pleura separada.
HP:0010961	un tipo de secuestro broncopulmonar que se incorpora al pulmón circundante normal.
HP:0012526	Ausencia de gránulos alfa plaquetarios, que suele traducirse en un aspecto gris de las plaquetas en los frotis sanguíneos teñidos con giemsa.
HP:0031678	lesión asociada a la aterosclerosis, enfermedad progresiva multifactorial y multipartita que se manifiesta por el desarrollo focal dentro de la pared arterial de lesiones que van desde el desarrollo de una veta grasa, la progresión de la placa y la disrupción de la placa. las lesiones ateroscleróticas demuestran características morfológicas consistentes, que indican que cada tipo puede estabilizarse temporal o permanentemente y que la progresión al siguiente tipo puede requerir un estímulo adicional.
HP:0034392	limitación de la amplitud de movimiento pasivo del codo resultante de la pérdida de elasticidad de los tejidos periarticulares debido a cambios estructurales de los tejidos no óseos, como músculos, tendones, ligamentos, cápsulas articulares o piel. una contractura impide el movimiento de la parte del cuerpo asociada.
HP:0006858	pérdida o alteración de la sensación de la posición relativa de las partes del cuerpo y de la posición articular que se produce en las articulaciones distales.
HP:0011956	anomalía linfoproliferativa del intestino caracterizada por numerosos nódulos mucosos visibles que miden hasta 0,5 cm de diámetro, aunque raramente los superan histológicamente, se observan folículos linfoides hiperplásicos con grandes centros germinales en la lámina propia y la submucosa superficial. Hay un agrandamiento de los folículos de células B de la mucosa causado por la hiperplasia de los centros foliculares; rodeados por una zona de manto de apariencia normal. la enfermedad puede afectar al estómago, a todo el intestino delgado y al intestino grueso.
HP:0008572	una malformación del pabellón de la oreja.
HP:0032794	una crisis mioclónica es un tipo de crisis motora caracterizada por una contracción involuntaria, breve y repentina, única o múltiple, de músculos o grupos musculares de topografía variable. la mioclonía es menos repetitiva y sostenida que el clonus.
HP:0025392	un patrón nodular se caracteriza en la tomografía computarizada pulmonar de alta resolución por la presencia de numerosas opacidades redondeadas que oscilan entre 2 mm y 1 cm de diámetro, definiéndose los micronódulos como menores de 3 mm de diámetro.
HP:0000543	una decoloración amarilla pálida del disco óptico . el disco óptico tiene normalmente una tonalidad rosada con una depresión central amarillenta.
HP:0041154	rotura parcial o total de la articulación del codo.
HP:0001678	se dice que un paciente que experimenta una interrupción de la comunicación eléctrica entre las cavidades superior e inferior del corazón sufre un bloqueo auriculoventricular.
HP:0002044	un paciente fue diagnosticado de zes caracterizado por múltiples gastrinomas pancreaticoduodenales con ulceración.
HP:0005449	un paciente con un puente en la silla turca puede presentar síntomas asintomáticos o mostrar una serie de síntomas en función del tamaño y la ubicación del puente óseo que rellena el hueco normal en la silla turca, que alberga la vital glándula pituitaria responsable de segregar hormonas esenciales.
HP:0003990	un paciente con una deformidad congénita del cúbito, un defecto de nacimiento que da lugar a un hueso cúbito anormalmente puntiagudo, experimenta complicaciones en la alineación y el movimiento del hueso.
HP:0003990	un paciente con un hueso cúbito puntiagudo, caracterizado por un extremo puntiagudo en lugar de un extremo plano, experimenta dificultades con la articulación y el funcionamiento del hueso debido a esta variación anatómica.
HP:0008648	un paciente con una uretra ectópica tiene una uretra que se ha desarrollado en el lugar equivocado, caracterizada por un meato uretral desplazado anteriormente, lo que da lugar a una abertura anormal de la uretra.
HP:0000013	una paciente con hipoplasia uterina congénita nace con un útero anormalmente pequeño.
HP:0007348	un paciente con hipoplasia del tracto piramidal puede presentar diversos grados de deterioro motor debido a la reducción de la transmisión de señales motoras del cerebro a la médula espinal.
HP:0002023	un paciente con ano imperforado nace sin un ano completamente formado, lo que requiere una intervención quirúrgica para crear una abertura funcional para la defecación.
HP:0003990	un paciente con síndrome del cúbito puntiagudo presenta un hueso cúbito deformado congénitamente, lo que provoca una alteración de la alineación ósea y una restricción de la movilidad, afectando sustancialmente a su funcionamiento diario y a su calidad de vida en general.
HP:0002035	un paciente con prolapso rectal experimenta una protrusión del recto a través del ano.
HP:0005576	lesión tubulointersticial en el riñón es compleja, e implica una serie de vías celulares y moleculares independientes y superpuestas, con fibrosis intersticial renal y atrofia tubular como vía común final. sin embargo, si y ta son separables, como muestra la profunda ta en la estenosis de la arteria renal, que característicamente tiene poca o ninguna fibrosis. para nuevas anotaciones es preferible anotar a los términos específicos de hpo para lfibrosis intersticial renal y/o atrofia tubular renal.
HP:5200026	una capacidad reducida para imitar una tarea o los movimientos de los demás.
HP:0012760	una capacidad reducida para participar en el flujo de ida y vuelta de la interacción social adecuada a la cultura y al nivel de desarrollo, que normalmente se caracteriza por la influencia del comportamiento de una persona en el comportamiento de otra.
HP:0032025	una concentración reducida de alfa-1 antitripsina circulante, que es una glicoproteína de 52 kda sintetizada y secretada principalmente por los hepatocitos en el torrente sanguíneo. la alfa-1 antitripsina es un inhibidor de la serina-proteinasa que es crucial para mantener la homeostasis proteasa-antiproteasa en los pulmones.
HP:0031100	una concentración reducida de inhibina b en la sangre.
HP:0031085	una concentración reducida de prealbúmina en la sangre. la prealbúmina, también conocida como transtiretina, tiene una semivida en plasma de unos 2 días, mucho más corta que la de la albúmina. la prealbúmina es, por tanto, más sensible a los cambios en el estado proteico-energético que la albúmina, y su concentración refleja más la ingesta alimentaria reciente que el estado nutricional general.
HP:0100503	una concentración reducida de vitamina b1.
HP:0100504	una concentración reducida de vitamina b2.
HP:0100505	una concentración reducida de vitamina b5.
HP:0100506	una concentración reducida de vitamina b8.
HP:0100510	una concentración reducida de vitamina c.
HP:0100512	una concentración reducida de vitamina d.
HP:0011892	una concentración reducida de vitamina k.
HP:0034011	una proporción reducida de espermatozoides que se mueven en línea recta o en grandes círculos; alternativamente, una proporción aumentada de espermatozoides que se mueven en círculos estrechos o de alguna otra forma no lineal.
HP:0033452	una reducción de la concentración normal de prealbúmina en la circulación sanguínea.
HP:5200037	disminución de las muestras de simpatía hacia los demás, como consolar a alguien cuando está triste o llora.
HP:0000897	una hilera de prominencias en forma de perlas en la unión de una costilla y su cartílago , que se asemeja a un rosario.
HP:0010822	el escotoma centelleante es un aura visual común que puede preceder a una migraña, en la que se produce una mancha de luz centelleante cerca del centro de los campos visuales. la mancha impide la visión, por lo que se denomina escotoma. el escotoma puede extenderse en uno o más arcos centelleantes de luces parpadeantes blancas o de color.
HP:0011165	crisis caracterizada por alucinaciones visuales elementales como luces/colores intermitentes o parpadeantes, u otras formas, patrones simples, escotomas o amaurosis como primera manifestación clínica.
HP:0032851	crisis caracterizada por alucinaciones visuales elementales como luces/colores intermitentes o parpadeantes, u otras formas, patrones simples, escotomas o amaurosis.
HP:0001250	una crisis epiléptica es una anomalía intermitente de la fisiología del sistema nervioso caracterizada por la aparición transitoria de signos y/o síntomas debidos a una actividad neuronal anormal excesiva o sincrónica en el cerebro.
HP:5200402	una creencia solitaria que puede considerarse justificada en el contexto de la historia vital y la personalidad de una persona, pero que llega a determinar las acciones de un individuo hasta un grado morboso. la perturbación del funcionamiento y el sufrimiento subjetivo causado al paciente o a otras personas confieren a este tipo de idea el calificativo de sobrevalorada.
HP:0025428	un espasmo de los bronquiolos.
HP:0011340	una sutil hendidura unilateral del labio superior, que puede aparecer como una pequeña hendidura.
HP:0032055	un subtipo de displasia cortical focal de tipo iii que se caracteriza por alteraciones de la organización arquitectónica o de la composición citoarquitectónica en pacientes con esclerosis del hipocampo .
HP:0031805	"Subtipo de hemorragia del fondo de ojo que se produce en la retina neurosensorial. Las hemorragias intrarretinianas pueden tener forma de ""punto"", ""mancha"" o llama, según su profundidad en la retina."
HP:0034880	Inflamación o aumento de tamaño localizado en la glándula suprarrenal. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza exacta de la inflamación.
HP:0034884	Inflamación o aumento de tamaño localizado en el cuello uterino. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza exacta de la inflamación.
HP:0034972	Inflamación o aumento de tamaño localizado en la trompa de Falopio. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza exacta de la inflamación.
HP:0034879	Inflamación o aumento de tamaño localizado en el ovario. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza exacta de la inflamación.
HP:0034971	Inflamación o aumento de tamaño localizado en la cavidad peritoneal. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza exacta de la inflamación.
HP:0034963	Inflamación o aumento de tamaño localizado en el uréter. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza precisa de la inflamación.
HP:0034968	Inflamación o aumento de tamaño localizado en la vejiga urinaria. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza exacta de la inflamación.
HP:0034881	Inflamación o aumento de tamaño localizado en el útero. La palabra masa suele utilizarse en una fase temprana del diagnóstico, antes de que se haya determinado la naturaleza exacta de la inflamación.
HP:0032792	una crisis tónica es un tipo de crisis motora caracterizada por la rigidez o elevación unilateral o bilateral de las extremidades, a menudo con rigidez del cuello.
HP:0031203	tipo de cilindros urinarios acelulares que contienen gotitas de lípidos, cuerpos grasos ovales o cristales de colesterol, y a menudo están asociados con las formas libres de estos elementos. su identificación puede requerir el uso de microscopía de luz polarizada, bajo la cual las partículas grasas incrustadas en la matriz del cilindro aparecen como cruces de malta.
HP:0004857	Tipo de anemia caracterizada por eritrocitos anormalmente grandes con cantidades anormalmente altas de hemoglobina.
HP:0034410	Tipo de angioqueratoma que suele presentarse en la infancia como una gran placa hiperqueratósica unilateral, en su mayor parte lineal, compuesta por pápulas queratósicas confluentes. El tamaño oscila entre unos pocos centímetros y la mayor parte de la superficie corporal. Inicialmente, las lesiones se presentan como máculas rojizas múltiples, clínicamente similares a un nevus flammeus. Al cabo de varios años se convierten en pápulas acantoqueratósicas que se agrupan en placas que pueden tener una superficie hiperqueratósica.
HP:0025559	tipo de catarata caracterizada por opacidades en forma de bastón y puntiformes distribuidas radialmente en la corteza profunda. estas opacidades del cristalino rodean el núcleo con un aspecto que se asemeja al de una corona.
HP:0025571	un tipo de catarata que muestra un espectacular despliegue de múltiples colores que brillan con el cambio de luz incidente como un árbol de navidad iluminado.
HP:0003220	Tipo de aberración cromosómica caracterizada por una menor resistencia de los cromosomas a los cambios o al deterioro.
HP:0012060	Tipo de melanoma cutáneo localizado en la palma de la mano, la planta del pie o debajo de las uñas. El melanoma lentiginoso acral comienza como una mancha plana de piel descolorida que crece lentamente y suele tener un tamaño superior a 6 mm y, a menudo, varios centímetros o más de diámetro en el momento del diagnóstico, así como una pigmentación variable con una mezcla de colores que incluye el marrón, el gris azulado, el negro y el rojo.
HP:0033599	tipo de depósito glomerular subepitelial fibrilar caracterizado por agregados extracelulares compuestos por fibrillas finas, orientadas aleatoriamente y no ramificadas, de 8-12 nm de diámetro, que a menudo forman una masa algodonosa. este rasgo se asocia a una membrana basal glomerular prominente que refleja un aumento de grosor difuso y relativamente uniforme .
HP:0033600	Tipo de depósito glomerular fibrilar subepitelial caracterizado por agregados extracelulares de fibrillas dispuestas aleatoriamente, rectas, no ramificadas, más gruesas que las fibrillas amiloides y a menudo mezcladas con material difuso, electrón-denso.
HP:0032649	un tipo de pie plano caracterizado por abductovalgo del retropié, aducto del metatarso y acortamiento del tendón de Aquiles. los hallazgos radiográficos predominantes incluyen aducción del antepié con subluxación lateral del navicular sobre el astrágalo y valgo del talón. se observa un desgaste muy anormal del calzado en el lado medial. se producen callosidades bajo las cabezas metatarsales y la cabeza del astrágalo en flexión plantar.
HP:0032764	un tipo de crisis autonómica focal caracterizada por la erección del pene como rasgo semiológico inicial.
HP:0011159	tipo de crisis autonómica focal caracterizada por síntomas o signos relacionados con el sistema gastrointestinal como rasgo semiológico inicial.
HP:0011175	un tipo de crisis motora focal caracterizada por una rotación ocular, cefálica y/o troncular conjugada, forzada y sostenida o una desviación lateral de la línea media como manifestación semiológica inicial.
HP:0032679	tipo de crisis convulsiva de inicio focal caracterizada por signos o síntomas no motores como manifestación semiológica inicial.
HP:0033114	un tipo de ritmo de galope en el que están presentes tanto el tercer sonido como el cuarto.
HP:0033602	tipo de depósito subepitelial glomerular caracterizado por un material extracelular moderadamente denso a los electrones, generalmente homogéneo y de aspecto amorfo, situado entre la cara externa de la membrana basal glomerular y la célula epitelial visceral, con diversos grados de incorporación a la mbg. esta característica se asocia a una mbg prominente que refleja un aumento de espesor difuso y relativamente uniforme .
HP:0033601	tipo de depósito subepitelial glomerular caracterizado por un material finamente granular depositado entre la cara externa de la membrana basal glomerular y la célula epitelial visceral, con diversos grados de incorporación a la mbg y que corresponde a inmunoglobulina y/o complemento por inmunofluorescencia/inmunohistoquímica. esta característica se asocia a una mbg prominente que refleja un aumento de espesor difuso y relativamente uniforme .
HP:0032456	Un tipo de lisencefalia en la que, tras el examen neuropatológico, la placa cortical está gravemente desorganizada, con un patrón similar a un festón y sin laminación ni demarcación clara entre la materia blanca y la gris.
HP:0030744	Un tipo de persistencia del sistema vascular hialoideo asociado a una masa retrolental que puede provocar cataratas fetales.
HP:0025703	un tipo de esquizencefalia en el que la hendidura que contiene csf está presente con labios de revestimiento de materia gris anormal opuestos entre sí.
HP:0025704	un tipo de esquizencefalia en la que la hendidura que contiene csf presenta labios de revestimiento no adherentes de materia gris anormal.
HP:0025702	un tipo de esquizencefalia en la que existe una columna transmantelar de materia gris anormal pero sin evidencia de una hendidura que contenga csf en las imágenes de mr.
HP:0004864	un tipo de anemia sideroblástica que no responde al tratamiento.
HP:0011147	una crisis de ausencia típica es un tipo de crisis no motora generalizada que se caracteriza por su aparición repentina, la interrupción de las actividades en curso, la mirada perdida y, posiblemente, una breve desviación de los ojos hacia arriba. por lo general, el paciente no responde cuando se le habla. la duración es de unos segundos a medio minuto, con una recuperación muy rápida. aunque no siempre está disponible, un electroencefalograma suele mostrar descargas epileptiformes generalizadas de 3 hz durante el episodio.
HP:0033068	"La sobredosis, la deshidratación o la hipoalbuminemia, que aumentan la cantidad de fármaco no unido que es ultrafiltrado por el glomérulo, son los factores que suelen favorecer la precipitación de cristales en la luz tubular. En algunos casos, la cristaluria inducida por la medicación tiene un aspecto fenotípico distinto. Por ejemplo, los cristales de sulfadiazina aparecen como ""bolas de trigo"" o ""cáscaras"" fuertemente birrefringentes de color ámbar. Los cristales de aciclovir son birrefringentes y tienen forma de aguja, y cuando están presentes en abundancia dan a la orina un aspecto macroscópico sedoso y opalescente."
