HP:0000002	Desviación de la norma de estatura con respecto a la esperada según las normas de edad y sexo.
HP:0000044	El hipogonadismo hipogonadotrópico se caracteriza por una disminución de la función de las gónadas (testículos en los varones u ovarios en las mujeres) y es el resultado de la ausencia de las hormonas hipofisarias estimulantes de las gónadas: la hormona foliculoestimulante (FSH) y la hormona luteinizante (LH).
HP:0000045	Cualquier anomalía estructural del escroto, es decir, la bolsa que contiene los testículos, el epidídimo y la parte inferior del cordón espermático.
HP:0000046	Escroto aparentemente pequeño para la edad.
HP:0000047	Posición anormal del meato uretral en el cuerpo ventral del pene (cara inferior) caracterizada por el desplazamiento del meato uretral desde la punta del glande del pene hacia la superficie ventral del pene, el escroto o el perineo.
HP:0000048	Hendidura o hendidura en la línea media del escroto.
HP:0000049	Margen superior del escroto superior a la base del pene.
HP:0000050	Subdesarrollo de una parte o la totalidad de los órganos reproductores externos masculinos (que incluyen el pene, el escroto y la uretra).
HP:0000051	Hipospadias con localización del meato uretral en la región perineal.
HP:0000052	Anomalía congénita caracterizada por el cierre o la falta de desarrollo de un orificio en la uretra en los varones.
HP:0000053	Presencia de testículos anormalmente grandes.
HP:0000054	Pene anormalmente pequeño. Al nacer, el pene normal mide unos 3 cm (longitud estirada desde el tubérculo púbico hasta la punta del pene) con micropene inferior a 2,0-2,5 cm.
HP:0000055	Cualquier anomalía estructural de los genitales externos femeninos.
HP:0000056	Cualquier anomalía estructural del clítoris.
HP:0000058	Anomalía de los labios, las partes externas visibles de la vulva.
HP:0000059	Subcrecimiento de los labios externos.
HP:0000060	Hipoplasia del desarrollo del clítoris.
HP:0000061	Genitales ambiguos en un individuo con sexo genético XX.
HP:0000062	Fenotipo genital que no es claramente asignable a un solo sexo. Los genitales ambiguos pueden evaluarse utilizando la escala de Prader: Prader 0: Genitales externos femeninos normales. Prader 1: Genitales externos femeninos con clitoromegalia. Prader 2: Clitoromegalia con fusión labial parcial formando un seno urogenital en forma de embudo. Prader 3: Agrandamiento fálico aumentado. Fusión labioescrotal completa formando un seno urogenital con una sola abertura. Prader 4: Fusión escrotal completa con apertura urogenital en la base o en el eje del falo. Prader 5: Genitales externos masculinos normales. El diagnóstico de genitales ambiguos se realiza para Prader 1-4.
HP:0000063	Fusión de los labios menores como consecuencia de adherencias labiales que provocan una obstrucción vaginal.
HP:0000067	Anomalía congénita caracterizada por el cierre o la falta de desarrollo de un orificio en la uretra en las mujeres.
HP:0000068	Anomalía congénita caracterizada por el cierre o la falta de desarrollo de un orificio en la uretra.
HP:0000069	Anomalía del uréter. El uréter es el conducto por el que la orina pasa del riñón a la vejiga.
HP:0000070	Un ureterocele es una dilatación sacular congénita del segmento distal del uréter.
HP:0000071	La presencia de un uréter estenótico, es decir, constreñido.
HP:0000072	La distensión del uréter con la orina.
HP:0000073	Anomalía del desarrollo caracterizada por la presencia de dos uréteres, en lugar de uno, que conectan el riñón con la vejiga.
HP:0000074	Obstrucción del flujo de orina desde la pelvis renal hasta el uréter proximal.
HP:0000075	Anomalía congénita de las vías urinarias en la que el riñón está duplicado y se drena a través de dos pelvis renales y uréteres separados.
HP:0000076	Movimiento anormal (retrógrado) de la orina desde la vejiga hacia los uréteres o los riñones relacionado con la insuficiencia del mecanismo valvular en la unión ureterovesicular u otras causas.
HP:0000077	Una anomalía del riñón.
HP:0000078	Anomalía del aparato genital.
HP:0000079	Anomalía del sistema urinario.
HP:0000080	Una funcionalidad anormal del aparato genital.
HP:0000081	Duplicación del sistema colector del riñón, definida como un riñón con dos (en lugar de, normalmente, uno) sistemas pielocaliciales. El sistema pielocalicial está formado por la pelvis renal y los cálices. El sistema colector renal duplicado puede estar asociado a un único uréter o a uréteres dobles. En este último caso, los dos uréteres desembocan por separado en la vejiga o se fusionan para formar un único orificio ureteral.
HP:0000083	Reducción del nivel de rendimiento de los riñones en áreas funcionales que comprenden la concentración de orina, la eliminación de desechos, el mantenimiento del equilibrio electrolítico, la homeostasis de la presión arterial y el metabolismo del calcio.
HP:0000085	Conexión del riñón derecho y el izquierdo mediante un istmo de parénquima renal funcionante o tejido fibroso que atraviesa la línea media.
HP:0000086	Defecto del desarrollo en el que un riñón está situado en una posición anatómica anormal.
HP:0000089	Hipoplasia renal.
HP:0000090	Presencia de quistes en la unión corticomedular del riñón en combinación con fibrosis tubulointersticial.
HP:0000091	Anomalía de los túbulos renales.
HP:0000092	La presencia de túbulos renales con membranas basales gruesas redundantes, o una reducción superior al 50% del diámetro tubular en comparación con los túbulos circundantes no atróficos.
HP:0000093	Aumento de los niveles de proteínas en la orina.
HP:0000095	Una anomalía estructural del glomérulo.
HP:0000096	Acumulación de tejido cicatricial en el glomérulo.
HP:0000097	Acumulación segmentaria de tejido cicatricial en glomérulos individuales (pero no en todos).
HP:0000098	Una estatura superior a la esperada según las normas de edad y sexo.
HP:0000099	Inflamación de los glomérulos renales.
HP:0000100	El síndrome nefrótico es un conjunto de hallazgos que resultan de una disfunción glomerular con un aumento de la permeabilidad de la pared capilar glomerular asociada a una proteinuria pronunciada. El síndrome nefrótico se refiere a la constelación de hallazgos clínicos que resultan de una pérdida renal grave de proteínas, con proteinuria e hipoalbuminemia, edema e hiperlipidemia.
HP:0000103	Aumento de la producción de orina.
HP:0000104	Agenesia, es decir, falta de desarrollo del riñón durante la embriogénesis y el desarrollo.
HP:0000105	Aumento anormal del tamaño del riñón.
HP:0000107	Una bolsa llena de líquido en el riñón.
HP:0000108	Presencia de múltiples quistes en el límite entre la corteza renal y la médula.
HP:0000110	La presencia de displasia del desarrollo del riñón.
HP:0000111	Aumento del número y tamaño de las células yuxtaglomerulares.
HP:0000112	Término inespecífico que hace referencia a una enfermedad o daño de los riñones.
HP:0000113	Presencia de múltiples quistes en ambos riñones.
HP:0000114	Disfunción del túbulo proximal, que es la porción del sistema de conductos de la nefrona del riñón que va de la cápsula de Bowman al asa de Henle.
HP:0000117	Fosfato urinario elevado en presencia de hipofosfatemia.
HP:0000118	Una anomalía fenotípica.
HP:0000119	La presencia de cualquier anomalía del sistema genitourinario.
HP:0000121	La nefrocalcinosis es el depósito de sales de calcio en el parénquima renal.
HP:0000122	Una forma unilateral de agenesia renal.
HP:0000123	La presencia de inflamación que afecta al riñón.
HP:0000124	Función anormal del túbulo renal. La unidad funcional básica del riñón, la nefrona, consiste en un corpúsculo renal unido a un túbulo renal, con aproximadamente de 0,8 a 1,5 nefronas por riñón adulto. Las funciones del túbulo renal incluyen la reabsorción de agua, electrolitos, glucosa y aminoácidos y la secreción de sustancias como el ácido úrico.
HP:0000125	Defecto del desarrollo en el que un riñón está situado en una posición anatómica anormal dentro de la pelvis.
HP:0000126	Distensión grave del riñón con dilatación de la pelvis renal y de los cálices.
HP:0000127	Concentración elevada de uno o más electrolitos en la orina en presencia de concentraciones séricas bajas del electrolito o electrolitos.
HP:0000128	Potasio en orina elevado en presencia de hipopotasemia.
HP:0000130	Una anomalía del útero.
HP:0000131	La presencia de un leiomioma uterino.
HP:0000132	Menstruaciones prolongadas y excesivas a intervalos regulares superiores a 80 ml o que duren más de 7 días.
HP:0000133	Disgenesia gonadal es el nombre que se da a cualquiera de una multitud de afecciones que pueden causar un desarrollo deficiente de las gónadas, es decir, los testículos o los ovarios, o a las características fenotípicas relacionadas. El término debe evitarse en la medida de lo posible para las nuevas anotaciones, y deben elegirse términos más específicos.
HP:0000134	Disminución de la funcionalidad de las gónadas femeninas, es decir, del ovario.
HP:0000135	Disminución de la funcionalidad de la gónada.
HP:0000136	La presencia de un útero bífido.
HP:0000137	Una anomalía del ovario.
HP:0000138	Presencia de uno o varios quistes de ovario.
HP:0000139	La presencia de prolapso uterino.
HP:0000140	Anomalía del ciclo ovulatorio.
HP:0000141	Ausencia de menstruación durante un intervalo de tiempo equivalente a un total de más de (o igual a) 3 ciclos anteriores o 6 meses.
HP:0000142	Cualquier anomalía estructural de la vagina.
HP:0000143	Presencia de una fístula entre la vagina y el recto.
HP:0000148	Oclusión congénita de la vagina o adhesión de las paredes de la vagina que provoca la oclusión.
HP:0000149	La presencia de un gonadoblastoma de ovario.
HP:0000150	La presencia de un gonadoblastoma, una neoplasia de una gónada que consiste en agregados de células germinales y elementos del cordón sexual.
HP:0000151	Defecto congénito caracterizado por la ausencia de útero. La aplasia se refiere a la falta de desarrollo de un órgano durante el crecimiento y desarrollo embrionarios debido a la ausencia de tejido primordial.
HP:0000152	Una anomalía de la cabeza y el cuello.
HP:0000153	Una anomalía de la boca.
HP:0000154	Distancia entre las comisuras orales superior a 2 DE por encima de la media. Alternativamente, una anchura aparentemente aumentada de la apertura bucal (subjetiva).
HP:0000155	Erosión de la mebrana mucosa de la boca con excavación local de la superficie, resultante de la descamación del tejido necrótico inflamatorio.
HP:0000157	Cualquier anomalía de la lengua.
HP:0000158	Mayor longitud y anchura de la lengua.
HP:0000159	Una anomalía del labio.
HP:0000160	Distancia entre las comisuras de la boca más de 2 DE por debajo de la media. Alternativamente, una anchura de la apertura bucal aparentemente disminuida (subjetivo).
HP:0000161	Tipo de labio leporino que se presenta como una brecha en la línea media (mediana) del labio superior.
HP:0000162	Desplazamiento posterior de la lengua hacia la faringe, es decir, una lengua mal situada posteriormente.
HP:0000163	Anomalía de la cavidad oral, es decir, la abertura o parte hueca de la boca.
HP:0000164	Cualquier anomalía de los dientes.
HP:0000166	Una forma grave de periodontitis.
HP:0000168	Cualquier anomalía de la encía.
HP:0000169	La presencia de fibrosis de la encía.
HP:0000171	Disminución de la longitud y anchura de la lengua.
HP:0000172	Anomalía de la úvula, la proyección cónica desde el borde posterior de la parte media del paladar blando.
HP:0000174	Cualquier anomalía del paladar, es decir, del techo de la boca.
HP:0000175	El paladar hendido es un defecto del desarrollo del paladar que resulta de un fallo de fusión de las apófisis palatinas y se manifiesta como una separación del paladar (blando y duro).
HP:0000176	Las hendiduras submucosas del paladar duro se caracterizan por defectos óseos en la línea media del paladar óseo que están cubiertos por la membrana mucosa del paladar. Puede ser posible detectar una hendidura submucosa del paladar duro a la palpación como una muesca en el paladar óseo.
HP:0000177	Anomalía del labio superior.
HP:0000178	Una anomalía del labio inferior.
HP:0000179	Aumento del grosor del labio inferior, que da lugar a un aspecto prominente del labio inferior. La altura del bermellón del labio inferior en la línea media está más de 2 DE por encima de la media. Alternativamente, una altura aparentemente aumentada del bermellón del labio inferior en la vista frontal (subjetiva).
HP:0000180	Múltiples hendiduras y/o elevaciones en el borde y/o la superficie de la lengua que producen un contorno superficial irregular.
HP:0000183	Disminución de la fuerza de la musculatura lingual, que provoca dificultades para mover la lengua y puede ir acompañada de disartria o disfagia.
HP:0000185	Fisura del paladar blando (también conocida como velo del paladar o paladar muscular) como resultado de un defecto del desarrollo que se produce entre la 7ª y la 12ª semana de embarazo. El paladar blando hendido puede causar anomalías funcionales de la trompa de Eustaquio con las consiguientes anomalías del oído medio y dificultades auditivas, así como problemas del habla asociados al habla hipernasal debido a la insuficiencia velofaríngea.
HP:0000188	Disminución de la anchura del labio superior.
HP:0000189	Anchura del paladar más de 2 DE por debajo de la media (objetivo) o anchura palatina aparentemente disminuida (subjetivo).
HP:0000190	Anomalía del frenillo lingual, es decir, del pequeño pliegue de mucosa que une la lengua al suelo de la boca, o presencia de frenillos accesorios en la cavidad bucal.
HP:0000191	Pliegue extra de tejido que se extiende desde la cresta alveolar hasta la superficie interna del labio superior o inferior.
HP:0000193	Úvula separada en dos partes más fácilmente visibles en la punta.
HP:0000194	Apariencia facial caracterizada por una boca abierta de forma permanente o casi permanente.
HP:0000196	Depresión localizada en el bermellón del labio inferior, generalmente paramediana.
HP:0000197	Cualquier anomalía de las glándulas parótidas, que son las glándulas salivales situadas en los tejidos subcutáneos de la cara, por encima de la rama mandibular y por delante y por debajo del oído externo.
HP:0000200	La presencia de un frenillo lingual anormalmente corto.
HP:0000201	La malformación de Pierre Robin es una secuencia de malformaciones del desarrollo caracterizadas por micrognatia (hipoplasia mandibular), glosoptosis y paladar hendido.
HP:0000202	Presencia de una hendidura (hueco, abertura o surco) en la cavidad oral, incluida la hendidura del labio superior y/o la hendidura del paladar. La hendidura del labio superior es visible como un surco o fisura en el labio, con mayor frecuencia debido a un fallo congénito en la fusión de los procesos nasales maxilar y medio. El paladar hendido se caracteriza por una depresión o fisura acanalada en el paladar, la mayoría de las veces debido a un fallo congénito de la correcta fusión del paladar. Las hendiduras del labio y del paladar pueden producirse de forma individual o conjunta. Es preferible codificar cada defecto por separado.
HP:0000204	Hueco o surco en el labio superior. Se trata de un defecto congénito resultante de la no fusión de los tejidos del labio durante el desarrollo embrionario.
HP:0000205	Anomalía del aspecto de la cara causada por una contracción constante de los labios que da lugar a un aspecto fruncido o fruncido.
HP:0000206	Inflamación de la lengua.
HP:0000207	La presencia de una forma triangular de la boca.
HP:0000211	Limitación de la capacidad para abrir la boca.
HP:0000212	Hiperplasia de la encía (es decir, engrosamiento del tejido blando que recubre la cresta alveolar. El grado de engrosamiento varía desde la afectación de las papilas interdentales únicamente hasta el sobrecrecimiento gingival que cubre toda la corona del diente.
HP:0000214	Telangiectasia (es decir, presencia de pequeños vasos sanguíneos superficiales dilatados) de los labios.
HP:0000215	Altura del bermellón del labio superior en la línea media más de 2 DE por encima de la media. Alternativamente, una altura aparentemente aumentada del bermellón del labio superior en la vista frontal (subjetiva).
HP:0000217	Sequedad de boca por disfunción de las glándulas salivales.
HP:0000218	Altura del paladar más de 2 DE por encima de la media (objetivo) o altura del paladar a nivel del primer molar permanente más del doble de la altura de los dientes (subjetivo).
HP:0000219	Altura del bermellón del labio superior en la línea media más de 2 DE por debajo de la media. Alternativamente, una altura aparentemente reducida del bermellón del labio superior en la vista frontal (subjetiva).
HP:0000220	Incapacidad del esfínter velofaríngeo para separar suficientemente la cavidad nasal de la oral durante el habla.
HP:0000221	Acentuación de los surcos de la superficie dorsal de la lengua.
HP:0000222	Hiperqueratosis de la encía.
HP:0000224	Disminución de la capacidad de percibir sabores.
HP:0000225	Hemorragia que afecta a la encía.
HP:0000227	Telangiectasia (es decir, presencia de pequeños vasos sanguíneos superficiales dilatados) de la lengua.
HP:0000228	Presencia de telangiectasias en la cavidad bucal.
HP:0000230	Inflamación de la encía.
HP:0000232	Una configuración anormal del labio inferior tal que está vuelto hacia fuera, es decir, evertido, con la cara interna del bermellón del labio inferior (normalmente opuesta a los dientes) visible en una vista frontal.
HP:0000233	Altura del bermellón de la parte medial del labio más de 2 DE por debajo de la media, o altura aparentemente reducida del bermellón del labio en la vista frontal. El bermellón es la parte roja de los labios (y, por confusión, también se suele decir que el bermellón equivale a los labios).
HP:0000234	Una anomalía de la cabeza.
HP:0000235	Cualquier anomalía de las fontanelas (las regiones cubiertas por una gruesa membrana que normalmente se osifican en los dos primeros años de vida) o de las suturas craneales (las articulaciones fibrosas en las que los huesos o cartílagos articulados del cráneo están unidos por ligamentos suturales).
HP:0000236	Anomalía de la fontanela anterior, es decir, la fontanela craneal situada en la intersección de las suturas coronal y sagital.
HP:0000237	Tamaño anormalmente disminuido de la fontanela anterior con respecto a las normas dependientes de la edad.
HP:0000238	La hidrocefalia es una distensión activa del sistema ventricular del cerebro resultante de un paso inadecuado del LCR desde su punto de producción dentro de los ventrículos cerebrales hasta su punto de absorción en la circulación sistémica.
HP:0000239	En los recién nacidos, los dos huesos frontales, los dos parietales y el occipital están unidos por suturas fibrosas que forman una pequeña fontanela posterior y una fontanela anterior más grande, en forma de diamante. Estas regiones permiten el paso del cráneo por el canal del parto y su posterior crecimiento. Las fontanelas se osifican gradualmente, por lo que la fontanela posterior suele cerrarse a las ocho semanas y la anterior entre el noveno y el decimosexto mes de edad. Las fontanelas grandes se diagnostican si son más grandes de lo normal en función de la edad.
HP:0000240	Cualquier anomalía del tamaño del cráneo.
HP:0000242	El saliente parietal es una prominencia marcada en la región parietal.
HP:0000243	Cabeza en forma de cuña o triangular, con el vértice del triángulo en la línea media de la frente y la base del triángulo en el occipucio.
HP:0000244	Altura vertical anormal del cráneo y acortamiento de su longitud anteroposterior, combinados frecuentemente con malformaciones de la región occipital.
HP:0000245	Anomalía de los senos paranasales (craneales), que son espacios llenos de aire que se encuentran dentro de los huesos del cráneo y la cara y se comunican con la cavidad nasal. Comprenden los senos maxilares, los senos frontales, los senos etmoidales y los senos esfenoidales.
HP:0000246	Inflamación de los senos paranasales debida a una infección vírica, bacteriana o fúngica, una alergia o una reacción autoinmunitaria.
HP:0000248	Anomalía de la forma del cráneo caracterizada por una disminución del diámetro anteroposterior. Es decir, un índice cefálico superior al 81%. Alternativamente, una dimensión anteroposterior (longitud) de la cabeza aparentemente acortada en comparación con la anchura.
HP:0000250	Aumento anormal de la densidad de los huesos que componen la calvaria.
HP:0000252	Perímetro cefálico inferior a 2 desviaciones estándar por debajo de la media para la edad y el sexo.
HP:0000253	La microcefalia progresiva se diagnostica cuando el perímetro cefálico se sitúa progresivamente por debajo de las normas en función de la edad y el sexo.
HP:0000255	Una forma aguda de sinusitis.
HP:0000256	Circunferencia occipitofrontal (cabeza) superior al 97º centil en comparación con los estándares normales apropiados, emparejados por edad y sexo. Alternativamente, un tamaño del cráneo aparentemente aumentado.
HP:0000260	Agrandamiento de la fontanela anterior con respecto a las normas en función de la edad.
HP:0000262	Cabeza alta en relación con la anchura y la longitud.
HP:0000263	La oxicefalia (del griego oxus, afilado, y kephalos, cabeza) se refiere a una forma cónica o puntiaguda del cráneo.
HP:0000264	Anomalía de la apófisis mastoides, que es la prominencia cónica que sobresale de la superficie inferior de la porción mastoides del hueso temporal.
HP:0000267	Asimetría de los huesos del cráneo.
HP:0000268	Anomalía de la forma del cráneo caracterizada por un aumento del diámetro anteroposterior, es decir, un aumento de la dimensión anteroposterior del cráneo. Índice cefálico inferior al 76%. Alternativamente, una longitud anteroposterior de la cabeza aparentemente aumentada en comparación con la anchura. A menudo debido a un cierre prematuro de la sutura sagital.
HP:0000269	Aumento de la convexidad del occipucio (parte posterior del cráneo).
HP:0000270	Los bebés suelen tener dos fontanelas al nacer: la fontanela anterior, en forma de diamante, en la unión de las suturas coronal y sagital, y la fontanela posterior, en la intersección de los huesos occipital y parietal. La fontanela posterior suele cerrarse hacia la 8ª semana de vida, y la fontanela anterior hacia el 18º mes de vida por término medio. Este término se aplica si existe un retraso en el cierre de las fontanelas más allá de la edad normal.
HP:0000271	Una anomalía de la cara.
HP:0000272	Subdesarrollo de la prominencia malar del hueso yugal (hueso cigomático en los mamíferos), apreciable de perfil, de frente y/o por palpación.
HP:0000274	Una cara corta y estrecha.
HP:0000275	La anchura bizigomática (cara superior) y bigoniana (cara inferior) están ambas más de 2 desviaciones estándar por debajo de la media (objetivo); o, una aparente reducción de la anchura de la cara superior e inferior (subjetivo).
HP:0000276	La altura (longitud) de la cara es superior a 2 desviaciones estándar por encima de la media (objetivo); o, un aumento aparente de la altura (longitud) de la cara (subjetivo).
HP:0000277	Cualquier anomalía de la mandíbula, el hueso del maxilar inferior.
HP:0000278	Anomalía en la que la mandíbula está mal situada posteriormente.
HP:0000280	Ausencia de apariencia fina y afilada de cejas, nariz, labios, boca y mentón, generalmente debido a rasgos redondeados y pesados o piel engrosada con o sin engrosamiento de los tejidos subcutáneos y óseos.
HP:0000283	Anchura bizigomática (parte superior de la cara) y bigonial (parte inferior de la cara) superior a 2 desviaciones estándar por encima de la media (objetivo); o un aumento aparente de la anchura de la cara (subjetivo).
HP:0000286	Pliegue de piel que comienza por encima de la cara medial del párpado superior y se arquea hacia abajo para cubrir, pasar por delante y lateral al canto medial.
HP:0000287	Aumento de la cantidad de tejido graso subcutáneo en la cara.
HP:0000288	Anomalía del surco nasolabial.
HP:0000289	Distancia entre las crestas filtrales, medida justo por encima del borde bermellón, más de 2 desviaciones estándar por encima de la media, o alternativamente, una distancia aparentemente aumentada entre las crestas del filtrum.
HP:0000290	Una anomalía de la frente.
HP:0000292	Pérdida del tejido graso subcutáneo normal de la cara.
HP:0000293	Aumento de la prominencia o redondez de los tejidos blandos entre la cigomata y la mandíbula.
HP:0000294	Distancia entre el nacimiento del pelo (tricono) y la glabela (el punto más prominente del hueso frontal por encima de la raíz de la nariz), en la línea media, más de dos DE por debajo de la media. Alternativamente, una distancia aparentemente disminuida entre la línea de implantación del cabello y la glabela.
HP:0000295	Apariencia facial característica con forma redonda, mejillas llenas, nariz corta y mentón relativamente pequeño.
HP:0000297	Disminución del tono muscular de un músculo inervado por el nervio facial (séptimo par craneal).
HP:0000298	Falta de expresión facial, a menudo con los ojos fijos y la boca ligeramente abierta.
HP:0000300	Rostro de contorno redondeado y ligeramente alargado.
HP:0000301	Anomalía de un músculo inervado por el nervio facial (séptimo par craneal).
HP:0000303	Prominencia anormal del mentón relacionada con el aumento de la longitud de la mandíbula.
HP:0000306	Anomalía del mentón, es decir, de la porción inferior de la cara situada por debajo del labio inferior y que incluye la prominencia central de la mandíbula inferior.
HP:0000307	Un marcado afinamiento de la parte inferior de la cara hasta la barbilla.
HP:0000308	Forma de hipoplasia del desarrollo de la mandíbula en la que ésta está mal localizada posteriormente.
HP:0000309	Anomalía del tercio medio facial, que es una región y no un término anatómico. Se extiende, superiormente, desde el margen orbitario inferior hasta, inferiormente, el nivel de la base nasal. Está formada por el maxilar (mandíbula superior) y el cigoma y las mejillas y la región malar. Tradicionalmente, la nariz y el premaxilar no se incluyen en el tercio medio facial.
HP:0000311	El aspecto facial es más circular de lo habitual visto de frente.
HP:0000316	Distancia interpupilar superior a 2 DE por encima de la media (alternativamente, aparición de una distancia interpupilar aumentada o de ojos muy separados).
HP:0000317	La mioquimia facial es una actividad fibrilar fina de uno o varios músculos inervados por el nervio facial (séptimo par craneal).
HP:0000319	Superficie cutánea plana, sin formación de cresta en la región central del labio superior entre la base nasal y el borde superior del bermellón.
HP:0000321	Los contornos faciales, vistos de frente, muestran una cara superior/cráneo ancho y una cara inferior/mandíbula, creando una apariencia cuadrada.
HP:0000322	Distancia entre la base nasal y la línea media del borde bermellón del labio superior más de 2 DE por debajo de la media. Alternativamente, una distancia aparentemente disminuida entre la base nasal y la línea media del borde bermellón del labio superior.
HP:0000324	Una diferencia anormal entre los lados izquierdo y derecho de la cara.
HP:0000325	Contorno facial, visto de frente, de forma triangular, con anchura en las sienes y estrechándose hacia un mentón estrecho.
HP:0000326	Una anomalía del maxilar (hueso de la mandíbula superior).
HP:0000327	Dimensión anormalmente pequeña del maxilar. Suele crear una maloclusión o una mala alineación entre los dientes superiores e inferiores o dar lugar a una cantidad deficiente de proyección de la base de la nariz y la región mediofacial inferior.
HP:0000329	Hemangioma, tumor benigno de las células endoteliales vasculares, que se produce en la cara.
HP:0000331	Disminución de la distancia vertical desde el borde bermellón del labio inferior hasta el punto más inferior del mentón.
HP:0000336	Protrusión hacia delante y/o lateral de la porción supraorbitaria de los huesos frontales superior a la media.
HP:0000337	La anchura de la frente o la distancia entre los frontotemporales es superior a dos desviaciones estándar por encima de la media (objetivo); o distancia aparentemente aumentada entre los dos lados de la frente.
HP:0000338	Reducción del grado de movimiento de los músculos que se encuentran bajo la piel de la cara, a menudo asociada a una menor formación de pliegues faciales.
HP:0000339	Rasgos faciales toscos que recuerdan a los de un boxeador.
HP:0000340	Inclinación de la superficie anterior de la frente con respecto a la vertical superior a dos desviaciones estándar por encima de la media (objetivo); o inclinación posterior aparentemente excesiva de la frente en una vista lateral.
HP:0000341	Anchura de la frente o distancia entre los frontotemporales superior a dos desviaciones estándar por debajo de la media (objetivo); o región intertemporal aparentemente estrecha (subjetivo).
HP:0000343	Distancia entre la base nasal y la línea media del borde bermellón del labio superior más de 2 DE por encima de la media. Alternativamente, una distancia aparentemente mayor entre la base nasal y la línea media del borde bermellón del labio superior.
