HP_ID,info
HP:0100792,"nikolsky's sign, positive"
HP:0011761,non-functional pituitary adenoma
HP:0011572,obstructive supravalvular mitral ring
HP:0025274,ovarian dermoid cyst with epidermal components
HP:0025387,parkinson's pill-rolling tremor
HP:0025387,parkinsonian pill-rolling tremor
HP:0100628,pathological condition characterized by an esophageal pouch
HP:0030863,pathological nasal flaring
HP:0100757,pediatric-specific pancreatic malignancy: pancreatoblastoma
HP:0011608,persistent truncus arteriosus type ii: two distinct pulmonary artery origins
HP:0100883,placental chorangioma mass
HP:0030856,posterior staphyloma due to scleral alterations
HP:0100296,predominant perifascicular muscle fiber atrophy
HP:0100610,pregnancy complicated by maternal hyperphenylalaninemia
HP:0100628,presence of an esophageal pouch
HP:0100883,presence of chorangioma in the maternal placenta
HP:0008659,presence of medullary sponge kidney disease
HP:0100005,primary testicular mesothelioma
HP:0100726,"purple, reddish-blue, or brown skin nodules"
HP:0012063,radiographic feature of aneurysmal bone cyst
HP:0030880,raynaud's phenomenon-like symptoms
HP:0100661,secondary trigeminal neuralgia
HP:0011761,silent pituitary adenoma
HP:0025452,skin lesion progressing to pyoderma gangrenosum
HP:0007475,subsequent development of hyperkeratotic scaling along joints and pressure-sensitive areas
HP:0011572,supravalvular mitral ring anomaly
HP:0011572,supravalvular mitral ring deformity
HP:0100726,systemic malignancy with cutaneous and visceral involvement
HP:0040313,transient oligoarthritis
HP:0011610,type 4 truncus arteriosus with significant shunting
HP:0011608,type ii truncus arteriosus: pulmonary arteries branching from truncus posteriorly/laterally
HP:0011608,type ii truncus arteriosus: two distinct pulmonary artery origins
HP:0011608,type ii truncus arteriosus: two separate pulmonary artery origins
HP:0011477,upbeat nystagmus in primary gaze
HP:0025534,"uveal melanocytosis"""
HP:0100673,vaginal hydrocele causing testicular impalpability
HP:0100726,vascular tumors due to kaposi's sarcoma-associated herpesvirus
HP:0011372,absent inner ear structures
HP:0000845,acromegaly in adults
HP:0003344,3-hydroxy-3-methylglutaric aciduria
HP:0003535,3-methylglutaconic aciduria confirmation in urine
HP:0003535,3-methylglutaconic aciduria detected in urinalysis
HP:0003344,3-methylglutaric aciduria diagnosis
HP:0003161,4-hydroxyphenylpyruvic aciduria diagnosis
HP:0040278,a benign tumor of the pituitary gland
HP:0010603,"a benign uni- or multicystic, intraosseous tumor of odontogenic origin, with a characteristic lining of parakeratinized stratified squamous epithelium and potential for aggressive, infiltrative behaviour."
HP:0034303,a bifid t-wave with a notch duration between the 2 peaks at leasy 0.04 sec and an amplitude at least 0.05 mv.
HP:0025190,a bilateral tonic-clonic seizure with generalized onset is a type of bilateral tonic-clonic seizure characterised by generalized onset; these seizures rapidly engage networks in both hemispheres at the start of the seizure.
HP:0032227,"a common, benign skin condition involving hypertrophy of the sebaceous glands characterized by single or multiple lesions that manifest as yellow, soft, small papules with umbilication. the lesions are located commonly on the central face but may also occur elswehere, including the chest, mouth, scrotum, foreskin, penile shaft, vulva, and areola."
HP:0001171,a condition in which middle parts of the hand are missing giving a cleft appearance. the severity is very variable ranging from slightly hypoplastic middle fingers over absent middel fingers as far as oligo- or monodactyl hands.
HP:0001015,a condition in which superficial veins are more conspicuous or noticable than normal.
HP:0032514,a congenital developmental anomaly characterized by the presence of two lacrimal punctum on one or both sides of the face.
HP:0025105,a congenital skin lesion characterized by irregular hypopigmented macules that coalesce to form plaques and occur particularly on the chest. it is generally present at birth or develops in the first days of life. it is more common in females. diagnosis is confirmed by applying gentle friction to the lesion and the surrounding skin and checking that the erythema produced in the healthy skin does not appear in the hypopigmented lesion. this pale macule becomes more conspicuous when the lesion and its surroundings are rubbed. the margin of the naevus is ill-defined and consists of an archipelago of small anaemic spots.
HP:0034302,a congenitally anomalous enlarged optic disk . it is considered to be a normal variant without physiological defects.
HP:0500070,"a conjuctival lesion composed of adipose tissue and dense connective tissue. such choristomas of dermal elements are normally found at the outer canthus, and have a gelatinous appearance. classically, there is an indistinct posterior border and a well-demarcated anterior border several millimetres posterior to the limbus."
HP:5200053,a consistent failure to nonverbally respond to verbal cues such as a failure to shift attention or look at the source of the cue.
HP:5200036,a consistent failure to respond to any verbal cues.
HP:5200054,a consistent failure to verbally respond to verbal cues which are intended to elicit a verbal response.
HP:0032674,"a cutaneous wound is a defined as a disruption of normal anatomic structure and function of the skin that occured owing to an injury of the skin. wound healing is a dynamic, interactive processinvolving soluble mediators, blood cells, extracellularmatrix, and parenchymal cells. wound healing has three phases: inflammation, tissue formation, and tissue remodeling, that overlap in time."
HP:0034408,"a dark, keratotic papule about 2-10 mm in diameter, usually occuring on the lower extremeities. usually the lesions begin as bright, soft, and nonkeratotic paules which grow larger and change to a firm, blue to black and keratotic stage."
HP:5200320,a decrease in frequency or duration related to seeking or maintaining relationships may involve avoiding social outings or social interactions.
HP:5200310,"a decrease in the frequency, intensity, or extent of social or personal exchanges between individuals."
HP:0500162,a decreased amount of carnosine in bood.
HP:0020175,a decreased amount of cholinesterase in the blood circulation.
HP:0020222,a decreased concentration of homocystine in the blood.
HP:0045041,a decreased or reduced level of the enzyme lactate dehydrogenase in serum.
HP:0031433,"a deficit in emotional awareness is characterized by difficulties in recognizing and expressing feelings and emotions. this deficit manifests as a limited ability to respond to facial cues or other signs of emotions in others, often accompanied by detached connections to others."
HP:5200420,"a delusion is when someone believes they are loved by another person, even though there is no evidence of this, and the person in question denies it."
HP:0030715,a developmental anomaly characterised by focal obliteration of the proximal segment of a bronchus. the bronchial pattern is entirely normal distal to the site of stenosis.
HP:0100841,a developmental anomaly wtih a small tubular or saccular midline stomach.
HP:0034548,a developmental defect characterized by underdevelopment of hte portal vein.
HP:0034530,"a developmental defect of a long bone, such as the femur or the humerus, characterized by a sharply curve deviation located in the metaphysis of the bone."
HP:0001180,a developmental defect resulting in the presence of fewer than the normal number of fingers.
HP:0011545,a deviance in the normal connections between two cardiac segements.
HP:0012113,"a deviation from the normal concentration of creatine in the blood circulation. creatine is a derivative of glycine having methyl and amidino groups attached to the nitrogen. creatine is naturally produced from amino acids, primarily in liver and kidney, and acts as an energy source for cells, primarly for muscle cells."
HP:0034582,a deviation from the normal distribution of cell types or their relative proprotions in a lymph node.
HP:0011146,a dialeptic seizure is a type of seizure characterised predominantly by reduced responsiveness or awareness and with subsequent at least partial amnesia of the event.
HP:0005787,a flattened vertebral body shape with reduced distance beween the vertebral endplates affecting the lumbar spine.
HP:0004592,a flattened vertebral body shape with reduced distance beween the vertebral endplates affecting the thoracic spine.
HP:0032755,a focal autonomic seizure characterised by impaired awareness at some point within the seizure.
HP:0032790,a focal behavior arrest seizure characterised by impaired awareness at some point during the seizure.
HP:0032789,a focal behavior arrest seizure characterised by retained awareness throughout the seizure.
HP:0032858,a focal motor seizure with negative myoclonus characterized by impairement of awareness at some point during the seizure.
HP:0100025,a form of hypersociability that presents as mostly inappropriate people-orientation and friendliness towards others on an inadequate level which might go as far as being dangerous considering for example young children following strangers without restriction.
HP:0033423,a form of pulmonary arterial hypertension in which there is a reduction of mean pulmonary artery pressure at leasy 10 mmhg to reach an absolute value of mpap not more than 40 mmhg with an increased or unchanged cardiac output in response to inhaled nitric oxide at 10-20 ppm.
HP:0033349,"a fourfold or greater increase of usual seizure frequency within a 3-day period, where the patient demonstrates full recovery between seizure events within the cluster. the seizure cluster should be recognisable by the primary clinician, carer or patient."
HP:0000204,a gap in the upper lip. this is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development.
HP:0002123,"a generalized myoclonic seizure is a type of generalized motor seizure characterised by bilateral, sudden, brief involuntary single or multiple contraction of muscles or muscle groups of variable topography . myoclonus is less regularly repetitive and less sustained than is clonus."
HP:0032795,"a generalized myoclonic-tonic-clonic seizure is a type of generalized motor seizure characterised by a single or multiple jerks of limbs bilaterally, followed by tonic and clonic phases. the initial jerks can be considered to be either a brief period of clonus or myoclonus."
HP:0002121,"a generalized non-motor seizure is a type of a type of dialeptic seizure that is of electrographically generalized onset. it is a generalized seizure characterised by an interruption of activities, a blank stare, and usually the person will be unresponsive when spoken to. any ictal motor phenomena are minor in comparison to these non-motor features."
HP:0010818,"a generalized tonic seizure is a type of generalized motor seizure characterised by bilateral limb stiffening or elevation, often with neck stiffening without a subsequent clonic phase. the tonic activity can be a sustained abnormal posture, either in extension or flexion, sometimes accompanied by tremor of the extremities."
HP:0000683,a grey discoloration of the dental enamel.
HP:0032538,a groove or crease on the shins . pretibial creases may be obvious at birth and may range from 3 cm to over 15 cm in length and lenghten as the limb grows. they appear as an elongated dimple because of the attachment of skin to underlying tissue . the dimple or crease grows in proportion to the growth of the leg.
HP:0500091,a hamartoma of lymph vessels that usually presents in childhood. it tends to increase in size with head-down posture and with the valsalva manoeuvre. superficial lesions are visible as transilluminable cystic spaces of the lid or conjunctiva that may also contain blood. deep lesions may cause gradual proptosis or present acutely with orbital pain and reduced vision due to haemorrhage.
HP:0035011,a history of exposure to silver that has occured in relation to performance of job duties.
HP:0010962,a kind of bronchopulmonary sequestration that is completely discrete from the normal lung and is surrounded by separate pleura.
HP:0010961,a kind of bronchopulmonary sequestration that is incorporated into the normal surrounding lung.
HP:0012526,a lack of platelet alpha granules. this typically results in the grey appearance of platelets in giemsa stained blood smears.
HP:0031678,"a lesion associated with atherosclerosis, a multifactorial and multipart progressive disease manifested by the focal development within the arterial wall of lesions, that ranges from teh development of a fatty streak, plaque progression, and plaque disruption. atherosclerotic lesions demonstrate consistent morphological characteristics, which indicate that each type may stabilize temporarily or permanently and that progression to the next type may require an additional stimulus."
HP:0034392,"a limitation in the passive range of motion of the elbow resulting from loss of elasticity in the periarticular tissues owing to structural changes of non-bony tissues, such as muscles, tendons, ligaments, joint capsules or skin. a contracture prevents movement of the associated body part."
HP:0006858,a loss or impairment of the sensation of the relative position of parts of the body and joint position occuring at distal joints.
HP:0011956,"a lymphoproliferative abnormality of the intestine characterized by numerous visible mucosal nodules measuring up to, and rarely exceeding, 0.5 cm in diameter histologically, hyperplastic lymphoid follicles with large germinal centres are seen in the lamina propria and superficial submucosa. there is enlargement of the mucosal b cell follicles caused by hyperplasia of the follicle centres; surrounded by a normal appearing mantle zone. disease may involve the stomach, the entire small intestine, and the large intestine."
HP:0008572,a malformation of the auricle of the ear.
HP:0032794,"a myoclonic seizure is a type of motor seizure characterised by sudden, brief involuntary single or multiple contraction of muscles or muscle groups of variable topography . myoclonus is less regularly repetitive and less sustained than is clonus."
HP:0025392,"a nodular pattern is characterised on pulmonary high-resolution computed tomography by the presence of numerous rounded opacities that range from 2 mm to 1 cm in diameter, with micronodules defined as smaller than 3 mm in diameter."
HP:0000543,a pale yellow discoloration of the optic disk . the optic disc normally has a pinkish hue with a central yellowish depression.
HP:0041154,a partial or complete breakage of the elbow joint.
HP:0001678,a patient experiencing an interruption of electrical communication between the upper and lower chambers of the heart is said to be suffering from atrioventricular block.
HP:0002044,a patient was diagnosed with zes characterized by multiple pancreaticoduodenal gastrinomas with ulceration.
HP:0005449,"a patient with a bridged sella turcica may exhibit asymptomatic symptoms or exhibit a range of symptoms depending on the size and location of the bone bridge filling the normal gap in the sella turcica, which houses the vital pituitary gland responsible for secreting essential hormones."
HP:0003990,"a patient with a congenital ulna deformity, a birth defect resulting in an abnormally pointed ulna bone, experiences complications in bone alignment and movement."
HP:0003990,"a patient with a pointed ulna bone, characterized by a pointed end instead of a flat end, experiences difficulties with bone articulation and functioning due to this anatomical variation."
HP:0008648,"a patient with an ectopic urethra has a urethra that has developed in the wrong place, characterized by an anteriorly displaced urethral meatus, resulting in an abnormal opening of the urethra."
HP:0000013,a patient with congenital uterine hypoplasia is born with an abnormally small uterus.
HP:0007348,a patient with hypoplasia of the pyramidal tract may exhibit varying degrees of motor impairment due to the reduced transmission of motor signals from the brain to the spinal cord.
HP:0002023,"a patient with imperforate anus is born without a fully formed anus, requiring surgical intervention to create a functional opening for bowel movements."
HP:0003990,"a patient with pointed ulna syndrome exhibits a congenitally deformed ulna bone, which causes impaired bone alignment and restricted mobility, substantially impacting their daily functioning and overall quality of life."
HP:0002035,a patient with rectal prolapse experiences a protrusion of the rectum through the anus.
HP:0005576,"a progressive detrimental connective tissue deposition on the kidney parenchyma involving the tubules and interstitial tissue of the kidney. tubulointerstitial injury in the kidney is complex, involving a number of independent and overlapping cellular and molecular pathways, with renal interstitial fibrosis and tubular atrophy as the final common pathway. however, if and ta are separable, as shown by the profound ta in renal artery stenosis, which characteristically has little or no fibrosis . for new annotations it is preferable to annotate to the specific hpo terms for renal interstitial lfibrosis and/or renal tubular atrophy."
HP:5200026,a reduced ability to imitate a task or the movements of others.
HP:0012760,"a reduced ability to participate in the back-and-forth flow of social interaction appropriate to culture and developmental level, which is normally characterized by an influence of the behavior of one person on the behavior of another person."
HP:0032025,"a reduced concentration of circulating alpha-1 antitrypsin, which is a 52-kda glycoprotein mainly synthesised and secreted by hepatocytes into the bloodstream. alpha-1 antitrypsin is a serine-proteinase inhibitor that it is crucial in maintaining protease-antiprotease homeostasis in the lungs."
HP:0031100,a reduced concentration of inhibin b in the blood.
HP:0031085,"a reduced concentration of prealbumin in the blood. prealbumin, also known as transthyretin, has a half-life in plasma of about 2 days, much shorter than that of albumin. prealbumin is therefore more sensitive to changes in protein-energy status than albumin, and its concentration closely reflects recent dietary intake rather than overall nutritional status."
HP:0100503,a reduced concentration of vitamin b1.
HP:0100504,a reduced concentration of vitamin b2.
HP:0100505,a reduced concentration of vitamin b5.
HP:0100506,a reduced concentration of vitamin b8.
HP:0100510,a reduced concentration of vitamin c.
HP:0100512,a reduced concentration of vitamin d.
HP:0011892,a reduced concentration of vitamin k.
HP:0034011,"a reduced proportion of sperm that move in a straight line or large circles; alternatively, an increaed proportion of sperm that move in tight circles or in some other non-linear fashion."
HP:0033452,a reduction from the normal concentration of prealbumin in the blood circulation.
HP:5200037,"a reduction in showing sympathy to others, such as providing comfort when someone is sad or crying."
HP:0000897,"a row of beadlike prominences at the junction of a rib and its cartilage , resembling a rosary."
HP:0010822,"a scintillating scotoma is a common visual aura that can preced a migraine, whereby a spot of flickering light near the center of the visual fields occurs. the spot prevents vision, and is thus termed scotoma. the scotoma can extend into one or more shimmering arcs of white or colored flashing lights."
HP:0011165,"a seizure characterized by elementary visual hallucinations such as flashing or flickering lights/colours, or other shapes, simple patterns, scotomata, or amaurosis as its first clinical manifestation."
HP:0032851,"a seizure characterized by elementary visual hallucinations such as flashing or flickering lights/colours, or other shapes, simple patterns, scotomata, or amaurosis."
HP:0001250,a seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain.
HP:5200402,"a solitary belief that can be considered justified in the context of a person's life history and personality, but which goes on to determine an individual's actions to a morbid degree. the disturbance in functioning and the subjective suffering caused to the patient or others give this type of idea the qualifier of being overvalued."
HP:0025428,a spasm of the bronchioles.
HP:0011340,"a subtle unilateral cleft of the upper lip, which may appear as a small indentation."
HP:0032055,a subtype of focal cortical dysplasia type iii that is characterized by alterations in architectural organisation or cytoarchitectural composition in patients with hippocampal sclerosis .
HP:0031805,a subtype of fundus hemorrhage occurring within the neurosensory retina. intraretinal haemorrhages may be 'dot' or' blot' shaped or flame shaped depending upon their depth within the retina.
HP:0034880,a swelling or enlargment localized to the adrenal gland. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0034884,a swelling or enlargment localized to the cervis of the uterus. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0034972,a swelling or enlargment localized to the fallopian tube. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0034879,a swelling or enlargment localized to the ovary. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0034971,a swelling or enlargment localized to the peritoneal cavity. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0034963,a swelling or enlargment localized to the ureter. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0034968,a swelling or enlargment localized to the urinary bladder. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0034881,a swelling or enlargment localized to the uterus. the word mass is usually used at an early stage of the diagnostic workup before the precise nature of the swelling has been determined.
HP:0032792,"a tonic seizure is a type of motor seizure characterised by unilateral or bilateral limb stiffening or elevation, often with neck stiffening."
HP:0031203,"a type of acellular urinary casts that contain lipid droplets, oval fat bodies or cholesterol crystals, and are often associated with the free forms of these elements. their identification may require the use of polarised light microscopy, under which fatty particles embedded into the cast matrix appear as maltese crosses."
HP:0004857,a type of anemia characterized by abnormally large erythrocytes with abnormally high amounts of haemoglobin.
HP:0034410,"a type of angiokeratoma that typically presents in childhood as a large, mostly linear and unilateral hyperkeratotic plaque which is composed of confluent keratotic papules. the size ranges from a few centimeters up to a major part of the body surface. initially the lesions present asa multile reddish macules, clinically similar to a nevus flammeus. within several years they develop into acanthokeratotic papules that agrregate into plaques which may have a hyperkeratotic surface."
HP:0025559,a type of cataract characterised by club-shaped and dot opacities distributed radially in the deep cortex. these lens opacities surround the nucleus in an appearance that is though to resemble a crown.
HP:0025571,a type of cataract that shows a spectacular display of multiple colours that glitters with the change of incident light like an illuminated christmas tree.
HP:0003220,a type of chromosomal aberration characterised by reduced resistance of chromosomes to change or deterioration.
HP:0012060,"a type of cutaneous melanoma localized to the palm, sole, or beneath the nail . acral lentiginous melanoma starts as a slowly-enlarging flat patch of discoloured skin and usually displays a size above 6 mm and often several centimetres or more in diameter upon diagnosis and variable pigmentation with a mixutre of colors including brown, and blue-grey, black and red. the surface of the lesion is initially smooth but later in the course may become thicker and irregular, and may ulcerate or bleed."
HP:0033599,"a type of fibrillar glomerular subepithelial deposit characterized by extracellular aggregates composed of fine, randomly oriented, non-branching fibrils 8-12 nm in diameter, often forming a cottony mass. this feature is associated with a prominent glomerular basement membrane reflecting an diffuse and relativly uniform increase in thickness ."
HP:0033600,"a type of fibrillar glomerular subepithelial deposit characterized by extracellular aggregates of randomly arranged, straight, non-branching fibrils that are thicker than amyloid fibrils and are often admixed with smudgy, electron-dense material. this feature is associated with a prominent glomerular basement membrane reflecting an diffuse and relativly uniform increase in thickness ."
HP:0032649,"a type of flat-foot characterized by hindfoot abductovalgus, metatarsus adductus, and achilles tendon shortening. the predominant radiographic findings include forefoot adduction with lateral subluxation of the navicular on the talus and heel valgus. very abnormal shoe wear is noted on the medial side. calluses occurunder the metatarsal heads and thehead of the plantar-flexed talus."
HP:0032764,a type of focal autonomic seizure characterised by penile erection as the intial semiological feature.
HP:0011159,a type of focal autonomic seizure characterised by symptoms or signs pertaining to the gastrointestinal system as the initial semiological feature.
HP:0011175,"a type of focal motor seizure characterised by sustained, forced conjugate ocular, cephalic, and/or truncal rotation or lateral deviation from the midline as the initial semiological manifestation."
HP:0032679,a type of focal-onset seizure characterized by non-motor signs or symptoms as its initial semiological manifestation.
HP:0033114,a type of gallop rhytm in which both the third and the fourth sounds are present.
HP:0033602,"a type of glomerular subepithelial deposit characterized by a moderately electron-dense, generally homogenous, amorphous-appearing extracellular material located between the outer aspect of the glomerular basement membrane and the visceral epithelial cell, with varying degrees of incorporation into the gbm. this feature is associated with a prominent gbm reflecting an diffuse and relativly uniform increase in thickness ."
HP:0033601,"a type of glomerular subepithelial deposit characterized by finely granular material deposited between the outer aspect of the glomerular basement membrane and the visceral epithelial cell, with varying degrees of incorporation into the gbm and corresponding to immunoglobulin and/or complement by immunofluorescence/immunohistochemistry. this feature is associated with a prominent gbm reflecting an diffuse and relativly uniform increase in thickness ."
HP:0032456,a type of lissencephaly whereby upon neuropathological examination the cortical plate is severely disorganized with a festooned-like pattern and with neither lamination nor clear demarcation between white and grey matter.
HP:0030744,a type of persistance of the hyaloid vascular system associated with a retrolental mass that may lead to fetal cataract.
HP:0025703,a type of schizencephaly in which csf-containing cleft is present with abutting lining lips of abnormal grey matter that are opposed to each other.
HP:0025704,a type of schizencephaly in which csf-containing cleft present with non-abutting lining lips of abnormal grey matter.
HP:0025702,a type of schizencephaly in which there is a trans-mantle column of abnormal grey matter but no evidence of a csf-containing cleft on mr imaging.
HP:0004864,a type of sideroblastic anemia that is not responsive to treatment.
HP:0011147,"a typical absence seizure is a type of generalised non-motor seizure characterised by its sudden onset, interruption of ongoing activities, a blank stare, possibly a brief upward deviation of the eyes. usually the patient will be unresponsive when spoken to. duration is a few seconds to half a minute with very rapid recovery. although not always available, an eeg would usually show 3 hz generalized epileptiform discharges during the event."
HP:0033068,"a variety of drugs may occasionally cause transient crystalluria, in isolation or in conjunction with other urinary abnormalities. overdose, dehydration, or hypoalbuminaemia, which increases the unbound drug which is ultrafiltrated by the glomerulus, are the factors usally favoring the precipitation of crystals within the tubular lumina. in some cases, medication-induced crystalluria has a distinct phenotypic appearance. for instance, sulphadiazine crystals appear as strongly birefringent 'shocks of wheat' or 'shells' with an amber colour. acyclovir crystals are birefringent and needle-shaped, and when present in abundance give to urine a silky and opalescent macroscopic appearance."
HP:0031696,a viral infection that fails to be contained by the immune sytem and spreads throughout the body.
HP:0001234,abducted hitchhiker thumb
HP:5200261,abnormal affect
HP:0031138,abnormal b-type natriuretic peptide concentration
HP:0030831,abnormal breath sounds with rhonchi
HP:0006899,abnormal cerebellar hemispheres fusion
HP:0030790,abnormal cerumen colour
HP:0005788,abnormal cervical myelogram findings
HP:0010875,abnormal chaddock reflex
HP:0025132,abnormal circulating oestrogen level
HP:0011918,abnormal curvature of 4th toe
HP:0100860,abnormal dilatation of inferior mesenteric artery
HP:0003116,abnormal echocardiogram
HP:0011801,abnormal enlargement of parotid gland
HP:0008635,abnormal enlargement of the urinary bladder.
HP:0030354,abnormal levels of interferon in the blood.
HP:0002938,abnormal lumbar lordosis
HP:0000771,abnormal mammary gland growth in men
HP:5200017,abnormal movements of face and head
HP:5200018,abnormal movements of the upper extremities
HP:5200019,abnormal movements of the whole body
HP:0011933,abnormal outpouching or sac-like dilatation in the wall of the ima or ssma.
HP:0025310,abnormal oval pupil morphology
HP:0011449,abnormal patellar clonus
HP:0006446,abnormal patellar tracking this term refers to the patellas movement along the femoral groove during knee flexion and extension which can be affected by dysplastic patella
HP:0002533,abnormal posturing of extremities
HP:0004836,abnormal proliferation of promyelocytes
HP:0000733,abnormal repetitive mannerisms
HP:0032968,"abnormal retention of gas within a lung or part of a lung, as a result of airway obstuction of abnormalities in lung compliance. in the classic presentation, the lung will appear normal at inspiration, but on exhalation, the diseased portions of the lung which have lost connective tissue recoil will remain lucent while the healthy portions of the lung will become more dense due to atelectasis. this helps distinguish it from mosaic attenuation due to patchy fibrosis, as occurs with nonspecific interstitial pneumonia, and in early usual interstitial pneumonitis in which there is no change with inspiration and expiration."
HP:0012433,abnormal social behaviour
HP:5200026,abnormal social imitation
HP:0020156,abnormal structure of the oocyte extracellular matrix region known as teh zona pellucida.
HP:0030906,abnormal suck reflex persistence
HP:0100028,abnormal thryoid location
HP:0003049,abnormal ulnar deviation
HP:0410192,abnormal uridine diphosphate glucose-4-epimerase level
HP:0012086,abnormal urinary colour
HP:0012088,abnormal urinary odour
HP:0020202,abnormal z disc morphology
HP:5200261,"abnormalities in the intensity, frequency, or duration of observable and expressed emotions."
HP:5200028,abnormality in the way one responds to social cues such as a verbal cue or someone sharing their emotions .
HP:0100291,abnormality of central somatosensory evoked potentials
HP:3000004,abnormality of frontalis muscle belly
HP:0004342,abnormality of galactoside metabolism. a galactoside is a glycoside containing galactose.
HP:0003649,abnormality of glycoside metabolism.
HP:0100643,abnormality of nail colour
HP:0001430,abnormality of the calf musculature
HP:0001163,abnormality of the metacarpal bones
HP:0010827,abnormality of the seventh cranial nerve
HP:0030979,abnormally dilated choroidal vessels
HP:0000911,abnormally flat glenoid fossa
HP:0007906,abnormally high eye pressure
HP:0003239,abnormally high urine phosphoethanolamine
HP:0012892,abnormally large facial muscles
HP:0012893,abnormally large neck muscles
HP:0032033,"abnormally lax eyelid associated with tissue relaxation, predominantly in the vertical plane. it can be demonstrated by vertical lid pull. loosening of vertical stabilising structures or tarsal atrophy are often present."
HP:0005542,abnormally long clotting period
HP:0002831,abnormally long coccyx
HP:0003085,abnormally long fibula
HP:0010493,abnormally long metacarpals
HP:0003988,abnormally long ulna
HP:0011417,abnormally long umbilical cord
HP:0000395,abnormally prominent antihelix
HP:0000941,abnormally short diaphyses
HP:0012376,abnormally small lens
HP:0003065,abnormally small patella
HP:0005537,abnormally small platelets
HP:0011419,abruptio placentae event
HP:0003057,absence of all four limbs
HP:0011516,absence of color vision
HP:0000786,absence of menstruation
HP:5200327,"absence of sexual attraction, behaviors, and interest that are different from the person's normal state."
HP:0001746,absence of spleen
HP:0040314,absence of vaginal-uterine connection leading to a blind vagina
HP:0033525,"absense of the central pair of microtubules in the sperm axoneme, thereby forming a 9+0 pattern instead of the normal 9+2 pattern."
HP:0006681,absent atrioventricular node conduction
HP:0010477,absent bladder structure
HP:0030008,absent cervix congenital disorder
HP:0030008,absent cervix syndrome
HP:0000387,absent earlobe development
HP:0000550,absent erg
HP:0002223,absent eyebrow development
HP:0002223,absent eyebrow follicles
HP:0002223,absent eyebrow growth
HP:0002223,absent eyebrow hair
