HP:0000002	Altura corporal anormal
HP:0000877	Diabetes mellitus resistente a la insulina en la pubertad
HP:0000878	11 pares de costillas
HP:0000886	Caja torácica deformada
HP:0000888	Costillas horizontales
HP:0000905	Acroosteólisis progresiva de la clavícula
HP:0000915	Pectus excavatum inferior
HP:0000916	Clavícula ancha
HP:0000917	Pectus carinatum superior
HP:0000919	Jucciones costocondrales anormales
HP:0000922	Ventosas costales anteriores y posteriores
HP:0000927	Anomalía de la maduración esquelética
HP:0000934	Depósitos de calcio en las articulaciones
HP:0000941	Asta corta del hueso largo
HP:0000944	Anomalía de la porción ancha de un hueso largo
HP:0000961	Coloración azulada de la piel
HP:0000962	Hiperqueratosis epidérmica
HP:0000963	Piel fina
HP:0000964	Eczema
HP:0000993	Pseudotumor moluscoide
HP:0000999	Lesión con pus
HP:0001001	Anomalía del tejido adiposo bajo la piel
HP:0001003	Manchas en el hígado
HP:0001007	Vellosidad excesiva
HP:0001014	Angioqueratomas
HP:0001017	Palidez anémica
HP:0001025	Urticaria
HP:0001026	Úlceras penetrantes del pie
HP:0001027	Piel suave y pastosa
HP:0001033	Enrojecimiento facial tras la ingesta de alcohol
HP:0001043	Venas prominentes del cuero cabelludo
HP:0001055	Incendio de San Antonio
HP:0001058	Mala cicatrización de las heridas
HP:0001059	Pterigión
HP:0001060	Pterigión axilar
HP:0001071	Síndrome de Fabry
HP:0001076	Hemangioma capilar glabelar
HP:0001080	Enfermedad de las vías biliares
HP:0001081	Cálculos biliares
HP:0001082	Inflamación de la vesícula biliar
HP:0001085	Papilitis
HP:0001089	Degeneración del iris
HP:0001098	Anomalía del fondo de ojo
HP:0001101	Inflamación del iris
HP:0001115	Polar cataract, posterior
HP:0001116	Coloboma de la mácula
HP:0001129	Gran pérdida central del campo visual
HP:0001132	Lente parcialmente luxada
HP:0001134	Catarata polar anterior
HP:0001136	Arteriolas retinianas tortuosas
HP:0001137	Ojos en cruz alternados
HP:0001138	Nervio óptico dañado
HP:0001147	Exudados retinianos
HP:0001149	distrofia del castor haab dimmer
HP:0001153	Vagina doble
HP:0001159	Dedos de las manos o de los pies palmeados
HP:0001194	Anomalías de la placenta o del cordón umbilical
HP:0001196	Cordón umbilical corto
HP:0001197	Anomalía del desarrollo prenatal o del nacimiento
HP:0001211	Anomalía de las yemas de los dedos
HP:0001220	Contracturas de flexión de la articulación interfalángica
HP:0001222	Pulgares en forma de cuchara
HP:0001225	Hinchazón de la muñeca
HP:0001227	Anomalía Thenar
HP:0001232	Telangiectasias del lecho ungueal
HP:0001251	Cerebellar ataxia
HP:0001258	Paraplejia espástica, miembro inferior
HP:0001266	Movimientos coreoatetoides
HP:0001269	Debilidad de un lado del cuerpo
HP:0001271	Enfermedad nerviosa periférica
HP:0001279	Desmayo
HP:0001281	Espasmo muscular involuntario intermitente
HP:0001285	Cuadriparesia espástica
HP:0001300	Enfermedad de Parkinson
HP:0001304	Distonía muscular deformante
HP:0001312	SEPS gigante
HP:0001326	EEG con complejos irregulares generalizados de picos y ondas.
HP:0001339	Menos surcos cerebrales o ausencia de ellos
HP:0001341	Ausencia de lóbulo olfativo
HP:0001348	Reflejos tendinosos profundos
HP:0001350	Mala pronunciación
HP:0001360	Ventrículo cerebral único
HP:0001386	Inflamación articular
HP:0001395	Liver fibrosis
HP:0001396	Flujo de bilis del hígado lento o bloqueado
HP:0001403	Esteatosis macrovesicular
HP:0001406	Deterioro de la liberación de bilis del hígado
HP:0001407	Quistes hepáticos
HP:0001408	Proliferación de los canalículos biliares
HP:0001414	Esteatosis microvesicular
HP:0001419	Recesivo ligado al X
HP:0001421	Músculos anormales de la mano
HP:0001423	Dominante ligado al X
HP:0001425	Heterogeneidad genética
HP:0001426	Familial predisposition
HP:0001433	Hígado y bazo agrandados
HP:0001435	Anomalía de la musculatura del hombro
HP:0001436	Músculos anormales del pie
HP:0001443	Anomalía de los glúteos
HP:0001446	Músculos anormales de las extremidades superiores
HP:0001449	Duplicación de los huesos largos del pie
HP:0001459	1º-3º dedos palmeados
HP:0001469	Anomalía de la musculatura de la pelvis
HP:0001473	Osteólisis de los huesos metatarsianos
HP:0001477	Inclinación compensatoria de la cabeza/elevación del mentón
HP:0001480	pecas
HP:0001488	Caída de ambos párpados superiores
HP:0001489	Desprendimiento vítreo
HP:0001493	Pliegue retiniano congénito
HP:0001495	Osteólisis del hueso carpiano
HP:0001501	6 huesos largos de la mano
HP:0001504	Osteólisis metacarpiana
HP:0001537	Hernias umbilicales
HP:0001540	Separación entre los músculos abdominales izquierdo y derecho
HP:0001547	Anomalía de la caja torácica
HP:0001549	Anomalía del íleon
HP:0001555	Pecho asimétrico
HP:0001557	Movimientos intrauterinos anormales
HP:0001560	Líquido amniótico anormal
HP:0001563	Poliuria fetal
HP:0001579	Hipercortisolemia independiente de ACTH
HP:0001583	Nistagmo rotatorio
HP:0001596	Caída del cabello
HP:0001601	Reblandecimiento del tejido de la laringe
HP:0001615	Grito ronco
HP:0001633	Anomalía de la válvula mitral
HP:0001636	Tetrología de Fallot
HP:0001637	Anomalía del miocardio
HP:0001638	Enfermedad del músculo cardíaco
HP:0001646	Anomalía de la válvula aórtica
HP:0001647	La válvula aórtica tiene dos valvas en lugar de tres
HP:0001655	Foramen oval persistente
HP:0001664	Torsades de pointes
HP:0001667	Hipertrofia del ventrículo derecho del corazón
HP:0001669	Transposición de grandes vasos
HP:0001686	Afonía
HP:0001691	Estenosis subaórtica muscular
HP:0001692	Arritmia auricular primaria
HP:0001695	El corazón deja de latir
HP:0001697	Anomalía del pericardio
HP:0001701	Inflamación o irritación de la membrana que rodea el corazón
HP:0001702	Anomalía de la válvula tricúspide
HP:0001705	Obstrucción de la salida ventricular derecha
HP:0001710	Defectos cardíacos conotruncales
HP:0001713	Anomalía del ventrículo cardíaco
HP:0001718	Estenosis de la válvula mitral
HP:0001730	Pérdida de audición progresiva
HP:0001733	Inflamación pancreática
HP:0001739	Anomalía de la nasofaringe
HP:0001743	Anomalía del bazo
HP:0001746	Ausencia de bazo
HP:0001750	Ventrículo común
HP:0001772	Deformidad equinovalga
HP:0001785	Hinchazón del tobillo
HP:0001791	Ascitis fetal
HP:0001800	Uñas de los pies poco desarrolladas
HP:0001808	Uñas quebradizas
HP:0001809	Fractura longitudinal de la uña
HP:0001812	Uñas tubulares
HP:0001814	Uñas profundas
HP:0001820	Decoloración blanca de las uñas
HP:0001824	Pérdida de peso
HP:0001832	Anomalía del hueso largo del pie
HP:0001836	Camptodactilia de los pies
HP:0001842	Acroosteólisis de los pies
HP:0001854	Gota del dedo gordo del pie
HP:0001869	Arrugas profundas en las plantas de los pies
HP:0001870	Acroosteólisis de las falanges distales de los pies
HP:0001873	Bajo recuento de plaquetas
HP:0001879	Anomalía de los eosinófilos
HP:0001880	Recuento elevado de eosinófilos en sangre
HP:0001881	Anomalía de los leucocitos
HP:0001883	Deformidades del pie taliforme
HP:0001884	Peso calcáneo
HP:0001885	Segundo dedo corto
HP:0001886	Infección ósea del pie
HP:0001889	Anemia megaloblástica
HP:0001895	Anemia normocrómica
HP:0001897	Anemia normocítica
HP:0001898	Aumento de la masa de glóbulos rojos
HP:0001899	Aumento del Hct
HP:0001904	Neutropenia autoinmune
HP:0001905	trombocitopenia congénita
HP:0001908	Anemia hipoplásica
HP:0001911	Anomalía de los granulocitos
HP:0001912	Anomalía de los basófilos
HP:0001915	Anemia aplásica
HP:0001920	Estrechamiento de la arteria renal
HP:0001930	Anemia hemolítica no esferocítica
HP:0001931	Anemia hipocrómica
HP:0001935	Anemia microcítica
HP:0001937	Anemia hemolítica microangiopática
HP:0001947	Acumulación de ácido en el cuerpo debido a un problema renal
HP:0001953	Cetosis diabética
HP:0001955	Fiebres inexplicables
HP:0001959	Sed extrema
HP:0001972	Anemia macrocítica
HP:0001978	Eritropoyesis extramedular
HP:0001981	Esquistocitos
HP:0001982	Histiocito azul marino
HP:0001985	Hipoglucemia, hipocetósica
HP:0001986	Deshidratación hiperosmolar
HP:0001987	Niveles elevados de amoníaco en sangre
HP:0001997	Artritis gotosa
HP:0001998	Hipoglucemia en recién nacidos
HP:0002017	Náuseas y vómitos
HP:0002018	Náuseas
HP:0002025	Estrechamiento del orificio anal
HP:0002041	Diarrea intratable
HP:0002064	Marcha espástica
HP:0002070	Appendicular ataxia
HP:0002074	Lipopigmentos neuronales
HP:0002086	Anomalía respiratoria
HP:0002090	Pneumonia
HP:0002097	Enfisema pulmonar
HP:0002100	Neumonía recurrente por aspiración,
HP:0002103	Anomalía de la pleura
HP:0002107	Pulmón colapsado
HP:0002108	Colapso pulmonar espontáneo
HP:0002110	Agrandamiento permanente de las vías respiratorias pulmonares
HP:0002118	Anomalía de los ventrículos cerebrales
HP:0002126	Más surcos en el cerebro
HP:0002127	Forma anormal de la neurona motora superior
HP:0002132	Cavidad dentro del cerebro
HP:0002138	Hemorragia subaracnoidea
HP:0002139	Arrinencefalia
HP:0002140	Accidente cerebrovascular isquémico
HP:0002144	Disrafismo espinal oculto
HP:0002153	Aumento de la concentración de potasio circulante
HP:0002156	Niveles elevados de homocistina en orina
HP:0002157	Azotaemia
HP:0002159	Excreción de heparán sulfato en orina
HP:0002161	Lisina elevada en sangre
HP:0002168	Discurso explosivo
HP:0002169	Contracciones y relajaciones musculares rítmicas involuntarias
HP:0002174	Temblor postural
HP:0002176	Presión sobre la médula espinal
HP:0002179	Opistótonos
HP:0002183	Miedo a los sonidos fuertes
HP:0002186	Apraxias
HP:0002188	Retraso en la mielinización del sistema nervioso central
HP:0002191	Espasticidad progresiva
HP:0002198	Agrandamiento del cuarto ventrículo
HP:0002200	Síntomas pseudobulbares
HP:0002202	Líquido alrededor de los pulmones
HP:0002204	Coágulo en arteria pulmonar
HP:0002212	Cabello rizado
HP:0002219	Aumento del vello facial
HP:0002234	Calvicie precoz
HP:0002240	Hígado agrandado
HP:0002244	Anomalía del intestino delgado
HP:0002246	Anomalía del duodeno
HP:0002247	Ausencia o estrechamiento de la primera parte del intestino delgado
HP:0002248	Vómitos de sangre
HP:0002250	Anomalía del intestino grueso
HP:0002265	Orejas grandes y carnosas
HP:0002268	Distonía episódica
HP:0002273	Cuadriparesia
HP:0002275	Mala coordinación motora
HP:0002298	Cabello ausente
HP:0002301	Parálisis en un lado del cuerpo
HP:0002310	Discinesias orofaciales
HP:0002312	Torpeza
HP:0002314	Degeneración de los tractos corticoespinales laterales
HP:0002324	Hidrancefalia
HP:0002330	Trastorno neurológico caracterizado por una compulsión repentina, recurrente e incontrolable a dormir.
HP:0002333	Degeneración progresiva del movimiento
HP:0002334	Anomalía del vermis cerebeloso
HP:0002339	Anomalía del núcleo caudado
HP:0002340	Degeneración del caudado
HP:0002341	Mielopatía por compresión de la médula cervical
HP:0002343	Hidrocefalia normotensiva
HP:0002345	Temblor atáxico
HP:0002346	Temblor de cabeza
HP:0002350	Quistes cerebelosos
HP:0002356	Calambre del escritor
HP:0002359	Caídas frecuentes
HP:0002361	Degeneración psicomotriz
HP:0002362	Caminar arrastrando los pies
HP:0002367	Alucinaciones visuales
HP:0002370	Mala coordinación
HP:0002371	Pérdida del habla
HP:0002374	Disminución del movimiento
HP:0002383	Inflamación cerebral
HP:0002385	Parálisis parcial de las piernas
HP:0002392	EEG: ondas pico y multipico, 3-4 hz
HP:0002404	Pedúnculos cerebelosos gruesos
HP:0002406	Movimiento descoordinado de las extremidades
HP:0002408	Malformación AV cerebral
HP:0002414	Lomo partido
HP:0002415	Degeneración de la sustancia blanca del cerebro
HP:0002425	Pérdida del habla articulada
HP:0002446	Aumento del número de astrocitos
HP:0002448	Enfermedad cerebral progresiva
HP:0002450	Forma anormal de la motoneurona
HP:0002457	Movimientos anormales de la cabeza
HP:0002463	Trastorno del lenguaje
HP:0002464	Disartria rígida
HP:0002472	Disminución del volumen de la corteza cerebral
HP:0002478	Cuadriparesia espástica progresiva
HP:0002494	Sueño REM anormal
HP:0002505	Pérdida de la capacidad de caminar
HP:0002506	Atrofia cerebral difusa
HP:0002510	Tetraplejia espástica
HP:0002514	Depósitos anormales de calcio en el cerebro
HP:0002519	Alucinaciones al dormirse
HP:0002521	Hipsarritmia por EEG
HP:0002527	Si
HP:0002530	Distonía troncal
HP:0002538	Anomalía de la corteza cerebral
HP:0002539	Displasia neocortical
HP:0002542	Degeneración olivopontocerebelosa
HP:0002546	Discurso incomprensible
HP:0002550	Ausencia de vello facial
HP:0002555	Ausencia de vello púbico
HP:0002562	Tetinas bajas
HP:0002574	Dolor abdominal intermitente
HP:0002577	Anomalía del estómago
HP:0002578	Retraso del vaciado gástrico
HP:0002579	Dismotilidad GI
HP:0002582	Gastritis atrófica crónica
HP:0002585	Anomalía del peritoneo
HP:0002586	Inflamación del peritoneo
HP:0002587	Vómitos en proyectil
HP:0002589	GI atresia
HP:0002592	Úlcera de estómago
HP:0002595	Atonía gastrointestinal
HP:0002613	Cirrosis biliar primaria
HP:0002626	Varices venosas de los vasos celíacos y mesentéricos
HP:0002629	Malformación arteriovenosa GI
HP:0002634	Pared arterial endurecida
HP:0002635	Ateromatosis
HP:0002636	Aneurisma de una arteria abdominal
HP:0002641	Coágulo de sangre periférica
HP:0002642	Fístulas arteriovenosas de los vasos celíacos y mesentéricos
HP:0002647	Desgarro de la pared interna de una gran arteria que transporta la sangre desde el corazón.
HP:0002650	Ángulo de Cobb superior a diez grados
HP:0002652	Desarrollo esquelético anormal
HP:0002653	Dolor de huesos
HP:0002661	Fracturas indoloras debidas a lesiones
HP:0002665	Cáncer del sistema linfático
HP:0002672	Carcinoma gastrointestinal
HP:0002699	Anomalía del foramen magnum
HP:0002724	Infecciones recurrentes por Aspergillus
HP:0002725	LES
HP:0002726	Infecciones recurrentes por Staphylococcus aureus
HP:0002731	Apoptosis linfocitaria defectuosa
HP:0002732	Ganglios linfáticos pequeños
HP:0002742	Infecciones por Klebsiella, recurrentes
HP:0002748	Huesos débiles y blandos
HP:0002749	Reblandecimiento de los huesos
HP:0002753	Corticales finas
HP:0002754	Infección ósea
HP:0002758	Enfermedad articular degenerativa
HP:0002766	Columna vertebral relativamente corta
HP:0002777	Estrechamiento de la tráquea
HP:0002779	Tráquea flexible
HP:0002781	Obstrucción de las vías respiratorias superiores
HP:0002790	Deterioro de la respiración en el recién nacido
HP:0002792	Disminución de la capacidad vital
HP:0002805	Edad ósea acelerada después de la pubertad
HP:0002815	Anomalía de la rodilla
HP:0002818	Anomalía del radio
HP:0002822	Trocánteres femorales hiperplásicos
HP:0002826	Hueso de la pelvis en forma de alabarda
HP:0002831	Coxis larga
HP:0002832	Punteado calcificado discreto
HP:0002833	Lesiones quísticas líticas en huesos apendiculares
HP:0002834	Metáfisis del fémur ensanchada
HP:0002835	Aspiración pulmonar
HP:0002836	Ectopia vesicae
HP:0002837	Bronquitis recurrente
HP:0002840	Inflamación de los ganglios linfáticos
HP:0002841	Infecciones fúngicas recurrentes
HP:0002851	Aumento del número de células T CD4-/CD8- que expresan receptores de células T alfa/beta
HP:0002858	Crecimiento no canceroso de las membranas que recubren el cerebro
HP:0002860	Cáncer de células escamosas
HP:0002864	Paragangliomas, cabeza y cuello
HP:0002865	Cáncer medular de tiroides
HP:0002868	Alas ilíacas estrechas
HP:0002869	Alas ilíacas ensanchadas
HP:0002870	Apnea obstructiva del sueño
HP:0002871	Apnea central
HP:0002872	Apnea episódica inducida por enfermedad febril o estrés
HP:0002876	Hyperpnea, episodic
HP:0002878	Insuficiencia respiratoria
HP:0002883	Respiración rápida
HP:0002897	Adenomas paratiroideos
HP:0002900	Niveles bajos de potasio en sangre
HP:0002902	Niveles bajos de sodio en sangre
HP:0002904	Niveles elevados de bilirrubina en sangre
HP:0002905	Niveles elevados de fosfato en sangre
HP:0002908	Hiperbilirrubinemia directa
HP:0002912	Concentración elevada de ácido metilmalónico circulante
HP:0002914	Aumento del cloruro urinario
HP:0002926	Función tiroidea anormal
HP:0002944	Escoliosis toracolumbar
HP:0002947	Cuello redondeado
HP:0002959	Alteración del cambio de isotipo de los linfocitos B
HP:0002967	Codos girados hacia fuera
HP:0002973	Anomalía del antebrazo
HP:0002974	Huesos del antebrazo fusionados
HP:0002981	Anomalía del ternero
HP:0002983	Extremidades más pequeñas o más cortas que las típicas
HP:0003002	Cáncer de mama
HP:0003003	Cáncer de colon
HP:0003006	Cáncer de las primeras células nerviosas
HP:0003011	Anomalía muscular
HP:0003013	Parte terminal abultada del hueso
HP:0003020	Agrandamiento de las muñecas
HP:0003023	Extremidades arqueadas debido a fracturas múltiples
HP:0003028	Anomalía de los tobillos
HP:0003029	Agrandamiento de los tobillos
HP:0003040	Enfermedad de las articulaciones
HP:0003043	Anomalía del hombro
HP:0003049	Desviación cubital de las muñecas
HP:0003051	Porción ancha agrandada de un hueso largo
HP:0003057	Tetra-amelia
HP:0003066	Extensión limitada de la rodilla
HP:0003067	Deformidad de la muñeca de Madelung
HP:0003075	Disminución de los niveles de proteínas en sangre
HP:0003077	Lípidos elevados en sangre
HP:0003080	Hidroxiprolina urinaria elevada
HP:0003089	Contracturas isquiotibiales
HP:0003095	Articulación infectada
HP:0003099	Crecimiento excesivo del hueso de la pantorrilla
HP:0003105	Protuberancias en los extremos de los huesos largos
HP:0003106	Erosiones subperiósticas
HP:0003113	Niveles bajos de cloruro en sangre
HP:0003121	Contracturas de las extremidades
HP:0003125	Factor VIII deficiency
HP:0003126	Proteinuria tubular
HP:0003127	Niveles bajos de calcio en la orina
HP:0003137	Prolina alta en orina
HP:0003144	Aumento de la serotonina sérica
HP:0003145	Disminución ADOCBL
HP:0003146	Disminución del nivel de colesterol circulante
HP:0003153	Niveles elevados de cistationina en orina
HP:0003158	Osmolalidad urinaria reducida
HP:0003161	Aciduria hidroxifenilpirúvica
HP:0003162	Hipoglucemia en ayunas
HP:0003163	Ácido delta-aminolevulínico urinario elevado
HP:0003164	Deficiencia hipotalámica de GNRH
HP:0003166	Aumento de taurina urinaria
HP:0003167	Niveles elevados de carnosina en orina
HP:0003183	Sínfisis ancha del pubis
HP:0003184	Abducción limitada de la cadera
HP:0003187	Pechos poco desarrollados
HP:0003199	Disminución de la masa muscular
HP:0003201	Descomposición del músculo esquelético
HP:0003210	Disminución de la actividad de la metilmalonil CoA mutasa
HP:0003215	Nivel elevado de ácido dicarboxílico en orina
HP:0003216	Depósito amiloide generalizado
HP:0003217	Glutamina plasmática elevada
HP:0003226	Perfiles rectilíneos ultraestructurales
HP:0003228	Niveles elevados de sodio en sangre
HP:0003232	Disminución de la enzima málica mitocondrial
HP:0003246	Ráfaga perineal prominente
HP:0003247	Crecimiento excesivo de los genitales externos
HP:0003249	Úlceras genitales
HP:0003251	Infertilidad masculina
HP:0003256	Coagulopathy
HP:0003260	Niveles elevados de hidroxiprolina en sangre
HP:0003267	Defecto de la orotidina-5-primafosfato descarboxilasa
HP:0003268	Niveles elevados de arginina en orina
HP:0003276	Exostosis pélvicas
HP:0003277	Alas ilíacas constreñidas
HP:0003286	Niveles elevados de cistationina en sangre
HP:0003287	Disfunción mitocondrial
HP:0003288	Defecto mitocondrial PCC
HP:0003296	Niveles elevados de treonina en orina
HP:0003298	Espina bífida oculta
HP:0003309	Vértebras torácicas y lumbares ovoides
HP:0003318	Hipermovilidad de las articulaciones de la columna cervical
HP:0003337	Bajo consumo de protrombina
HP:0003343	Deficiencia de glutatión sintetasa
HP:0003344	3-metilglutaricaciduria
HP:0003357	Disminución de la hormona tímica
HP:0003361	Niveles elevados de triptófano en orina
HP:0003376	Paso alto
HP:0003378	Degeneración y regeneración de axones
HP:0003383	Formaciones de bulbos de cebolla
HP:0003388	Se cansa fácilmente
HP:0003393	Atrofia tenar
HP:0003397	Hipotonía generalizada por defecto en la unión neuromuscular
HP:0003398	Anomalía de la transmisión neuromuscular
HP:0003400	Formaciones de "bulbo de cebolla" de la lámina basal en la biopsia de nervio
HP:0003409	Pérdida sensorial distal en todas las modalidades
HP:0003411	Metáfisis femoral proximal irregular
HP:0003418	Dolor de espalda
HP:0003422	Segmentación anormal de la columna vertebral
HP:0003423	Cifosis dorsolumbar
HP:0003438	Ausencia de reflejos en el tobillo
HP:0003450	Actividad regenerativa en biopsia nerviosa
HP:0003452	Aumento del hierro sérico
HP:0003454	Anticuerpo plaquetario
HP:0003463	Lipopigmentación en células extraneuronales
HP:0003474	Deficiencia sensorial
HP:0003481	Desmielinización/remielinización segmentaria
HP:0003514	Deficiencia o ausencia de citocromo b
HP:0003527	Niveles elevados de prostaglandinas en orina
HP:0003528	Calcitonina elevada
HP:0003532	Ornitina elevada en orina
HP:0003533	Oxidación retardada del acetaldehído
HP:0003534	Deficiencia de xantina deshidrogenasa
HP:0003535	3-Methylglutaconicaciduria
HP:0003537	Niveles bajos de ácido úrico en sangre
HP:0003551	Dificultad para subir escaleras
HP:0003566	Prostaglandina E2 elevada
HP:0003587	Inicio gradual
HP:0003607	Nivel elevado de ácido 4-hidroxifenilacético en orina
HP:0003612	Prueba positiva de FeCl3
HP:0003614	Niveles elevados de trimetilamina en orina
HP:0003621	Los signos y síntomas comienzan antes de los 15 años de edad
HP:0003639	Aumento de la epinefrina urinaria
HP:0003649	Anomalía del metabolismo de los glucósidos
HP:0003654	Deficiencia de dihidropirimidina deshidrogenasa
HP:0003655	Deficient N-acetylglucosaminyltransferase II
HP:0003656	Disminución de la actividad de la glucosilceramidasa ácida lisosomal
HP:0003657	Depósitos osmiófilos granulares (GROD) en las células
HP:0003689	Múltiples deleciones de ADNmt
HP:0003697	Scapuloperoneal atrophy
HP:0003704	Síndrome escapuloperoneal neurogénico
HP:0003707	Pseudohipertrofia de las pantorrillas
HP:0003713	Necrosis de las fibras musculares
HP:0003715	Cambios miofibrilares
HP:0003716	Apariencia muscular generalizada desde el nacimiento
HP:0003717	Mínima grasa bajo la piel
HP:0003730	EMG: actividad eléctrica espontánea y repetitiva
HP:0003731	Debilidad del cuádriceps
HP:0003733	Aumento del tamaño de los muslos
HP:0003743	Autosómica dominante con anticipación genética
HP:0003744	Sesgo de anticipación paterna
HP:0003750	Fatiga muscular
HP:0003755	Fibras de tipo 1 relativamente más pequeñas que las de tipo 2
HP:0003759	Vasos linfáticos poco desarrollados
HP:0003761	Acumulación de calcio en los tejidos blandos del cuerpo
HP:0003763	Rechinar los dientes
HP:0003765	Psoriasis
HP:0003768	Parálisis episódica
HP:0003777	Cabello aplastado y retorcido
