HP:0000003	['Multicystic dysplastic kidney', 'Multicystic kidneys', 'Multicystic renal dysplasia']
HP:0000113	['Polycystic kidney disease', 'Polycystic kidneys']
HP:0000114	['Proximal renal tubule defect', 'Proximal renal tubulopathy', 'Proximal tubular defect', 'Proximal tubule dysfunction', 'Selective proximal tubular damage']
HP:0000117	['Decreased renal tubular phosphate reabsorption', 'Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate', 'Tubular phosphate reabsorption low']
HP:0000119	['Abnormality of the GU system', 'Genitourinary abnormality', 'Genitourinary disease', 'Genitourinary dysplasia', 'Genitourinary tract anomalies', 'Genitourinary tract malformation', 'Urogenital abnormalities', 'Urogenital anomalies']
HP:0000121	['Increased calcium level in kidney', 'Too much calcium deposited in kidneys']
HP:0000122	['Absent kidney on one side', 'Missing one kidney', 'Single kidney', 'Unilateral kidney agenesis']
HP:0000124	['Abnormal function of filtrating structures in kidney', 'Renal tubular defect', 'Renal tubular disease']
HP:0000127	['Loss of salt in urine', 'Renal salt-wasting', 'Salt wasting', 'Salt-wasting']
HP:0000130	['Abnormality of the uterus', 'Uterine abnormalities', 'Uterine malformations']
HP:0000131	['Benign uterine leiomyomas', 'Uterine fibroid']
HP:0000132	['Abnormally heavy bleeding during menstruation', 'Abnormally heavy periods', 'Hypermenorrhea']
HP:0000133	['Mixed gonadal dysgenesis', 'Pure gonadal dysgenesis']
HP:0000137	['Abnormality of the ovaries', 'Abnormality of the ovary', 'Ovarian disease']
HP:0000138	['Cystic abnormalities of the ovaries', 'Cystic ovaries', 'Ovarian cyst', 'Ovarian cystic abnormality']
HP:0000140	['Abnormality of the menstrual cycle', 'Menstrual abnormalities']
HP:0000144	['Abnormal fertility', 'Decreased fertility']
HP:0000147	['Polycystic ovary', 'Polycystic ovary disease', 'Sclerocystic ovaries']
HP:0000151	['Absent uterus', 'uterus absent']
HP:0000152	['Abnormality of head or neck', 'Head and neck abnormality']
HP:0000153	['Abnormal mouth', 'Abnormality of the mouth']
HP:0000154	['Broad mouth', 'Large mouth', 'Large oral aperture', 'Macrostomia', 'Wide mouth']
HP:0000155	['Mouth sore', 'Mouth ulcer', 'Oral mucosal ulceration']
HP:0000157	['Abnormal tongue', 'Abnormality of the tongue', 'Glossal abnormality', 'Lingual abnormality', 'Tongue abnormality']
HP:0000158	['Abnormally large tongue', 'Glossal hypertrophy', 'Hyperplasia of the tongue', 'Hypertrophy of the tongue', 'Increased size of tongue', 'Large tongue', 'Lingual hyperplasia', 'Lingual hypertrophy', 'Tongue hypertrophy']
HP:0000159	['Abnormal lip', 'Abnormality of the lip', 'Anomaly of lip', 'Deformity of lip', 'Lip abnormality', 'Malformation of lip']
HP:0000160	['Microstomia', 'Narrow mouth', 'Small mouth', 'Small oral aperture']
HP:0000161	['Central cleft upper lip', 'Midline cleft lip']
HP:0000162	['Lingual retraction', 'Posterior displacement of the tongue', 'Retraction of the tongue']
HP:0000164	['Abnormal dentition', 'Abnormal teeth', 'Abnormality of the teeth', 'Dental abnormalities', 'Dental abnormality', 'Dental anomalies', 'Dental problem', 'Dental problems', 'Tooth abnormalities']
HP:0000166	['Severe gum disease', 'Severe periodontal disease', 'Severe pyorrhea']
HP:0000168	['Abnormality of the gums', 'Gingival abnormality']
HP:0000169	['Gingival fibroma', 'Gingival fibrous nodules', 'Hereditary gingival fibromatosis', 'Idiopathic gingival hyperplasia']
HP:0000171	['Abnormally small tongue', 'Decreased size of tongue', 'Hypoglossia', 'Hypoplasia of the tongue', 'Hypoplastic tongue', 'Lingual hypoplasia', 'Rudimentary tongue', 'Small tongue', 'Underdevelopment of the tongue']
HP:0000172	['Abnormality of palatine uvula', 'Abnormality of the uvula']
HP:0000174	['Abnormality of the palate', 'Abnormality of the roof of the mouth', 'Palatal anomaly', 'Palate abnormality']
HP:0000175	['Cleft hard and soft palate', 'Cleft of hard and soft palate', 'Cleft of palate', 'Cleft palate', 'Cleft roof of mouth', 'Cleft secondary palate', 'Palatoschisis', 'Uranostaphyloschisis']
HP:0000177	['Abnormality of upper lip', 'Anomaly of the upper lip', 'Deformity of the upper lip', 'Malformation of the upper lip']
HP:0000178	['Abnormality of lower lip', 'Anomaly of the lower lip', 'Deformity of the lower lip', 'Malformation of the lower lip']
HP:0000179	['Full lower lip', 'Full lower lip vermilion', 'Increased height of lower lip vermilion', 'Increased volume of lower lip', 'Increased volume of lower lip vermilion', 'Plump lower lip', 'Prominent lower lip', 'Prominent lower lip vermilion', 'Thick lower lip', 'Thick red part of the lower lip', 'Thick vermilion border of lower lip']
HP:0000180	['Bumpy tongue', 'Lingual lobules', 'Lobulate tongue']
HP:0000182	['Abnormality of lingual movement', 'Movement abnormality of the tongue']
HP:0000185	['Cleft muscular palate', 'Cleft of soft palate', 'Cleft velum']
HP:0000187	['Broad alveolar margins', 'Broad alveolar processes of jaw', 'Wide alveolar margins', 'Wide alveolar processes of jaw', 'Wide gum ridges', 'Widened alveolar ridges']
HP:0000188	['Decreased height of upper lip', 'Decreased upper labial height', 'Decreased upper labial length', 'Decreased vertical length of upper lip', 'Short upper lip', 'Shortening of upper lip', 'Vertical deficiency of upper lip']
HP:0000189	['Decreased palatal width', 'Decreased transverse dimension of palate', 'Narrow palate', 'Narrow roof of mouth']
